DATETIME,N_Cluster,ID_CLUS,LAT,LON,DIST,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2015-02-24 11:12:11,4,0,-3.3644505,-59.038143,108.6672719605317,108,173,SE,55.818965911865234,50.95880854218712
2015-02-24 11:12:11,4,1,-3.0041633,-58.264862,192.65160873768164,128,216,NE,35.277244567871094,47.77021445178668
2015-02-24 11:12:11,4,2,-3.3996787,-58.462177,172.2755466991486,106,205,SE,27.52621841430664,46.04624478195154
2015-02-24 11:12:11,4,3,-4.8021536,-59.703568,185.63845142526526,28,136,SE,38.33421325683594,48.347684829337055
2015-02-24 12:36:09,5,0,-3.5982473,-59.34394,87.51672075209999,95,156,SE,48.460365295410156,49.976486893218606
2015-02-24 12:36:09,5,1,-3.4721909,-58.984043,117.59671245862252,102,176,SE,33.76957321166992,47.46670910780115
2015-02-24 12:36:09,5,2,-3.4903765,-59.23602,92.12591413027914,101,162,SE,31.57891273498535,47.000654726699594
2015-02-24 12:36:09,5,3,-3.688276,-59.82997,62.33811873595224,90,129,SE,23.312225341796875,44.89163967576326
2015-02-24 12:36:09,5,4,-3.670291,-59.73996,64.13150123107263,91,134,SE,22.03354263305664,44.49964923999973
2015-02-24 12:48:11,4,0,-3.5802574,-59.307953,89.76308695462147,96,158,SE,59.6818733215332,51.42377910079108
2015-02-24 12:48:11,4,1,-3.5081215,-58.984005,118.86812377559966,100,176,SE,26.626663208007812,45.81536787770403
2015-02-24 12:48:11,4,2,-3.472397,-59.218033,93.17112740933266,102,163,SE,25.50924301147461,45.517461093962226
2015-02-24 12:48:11,4,3,-3.2748606,-60.639847,73.34745841703823,113,84,SW,43.66319274902344,49.2521477823244
2015-02-24 13:00:13,4,0,-3.5622914,-59.307964,88.72208210083019,97,158,SE,82.60647583007812,53.68252547057519
2015-02-24 13:00:13,4,1,-3.2748606,-60.639847,73.34745841703823,113,84,SW,48.322330474853516,49.95666589491351
2015-02-24 13:00:13,4,2,-3.490138,-58.966022,120.11426056156681,101,177,SE,26.515771865844727,45.78636833768678
2015-02-24 13:00:13,4,3,-3.5980353,-59.073917,113.4870859606299,95,171,SE,22.443471908569336,44.627740616951826
2015-02-24 13:12:05,6,0,-3.6341672,-59.325916,91.44548053114191,93,157,SE,74.0196533203125,52.91985270375902
2015-02-24 13:12:05,6,1,-3.2928267,-60.63986,73.7523305792864,112,84,SW,69.52208709716797,52.48426477955552
2015-02-24 13:12:05,6,2,-3.616001,-59.073902,114.3717200437844,94,171,SE,42.12138366699219,49.00234202240844
2015-02-24 13:12:05,6,3,-3.5259926,-58.893986,128.96442791325356,99,181,SE,24.488018035888672,45.23355813992781
2015-02-24 13:12:05,6,4,-3.5969296,-58.245846,200.27996455772742,95,217,SE,30.711854934692383,46.80719672071114
2015-02-24 13:12:05,6,5,-3.7781103,-59.84796,71.4312754194569,85,128,SE,26.122081756591797,45.682424506572815
2015-02-24 13:24:08,7,0,-3.616189,-59.307926,91.93899838900184,94,158,SE,57.33806228637695,51.14538814983704
2015-02-24 13:24:08,7,1,-3.5080075,-58.876007,130.2369632630243,100,182,SE,28.80559730529785,46.361930117794884
2015-02-24 13:24:08,7,2,-3.2928267,-60.63986,73.7523305792864,112,84,SW,26.7690486907959,45.85242695910238
2015-02-24 13:24:08,7,3,-3.6160173,-59.091904,112.59163426312107,94,170,SE,30.973142623901367,46.8660643143418
2015-02-24 13:24:08,7,4,-3.7781103,-59.84796,71.4312754194569,85,128,SE,89.89301300048828,54.2699149517119
2015-02-24 13:24:08,7,5,-2.8424034,-58.211155,200.8470710648049,137,219,NE,24.85590362548828,45.337172858202486
2015-02-24 13:24:08,7,6,-3.8498154,-59.415794,100.5591369821204,81,152,SE,32.93033981323242,47.29183935322331
2015-02-24 13:36:10,4,0,-3.6161766,-59.289925,93.5990040932791,94,159,SE,53.00867462158203,50.59985108746453
2015-02-24 13:36:10,4,1,-3.5259728,-58.875984,130.85826471934197,99,182,SE,48.228797912597656,49.943202955125656
2015-02-24 13:36:10,4,2,-3.77812,-59.95599,69.73103850658087,85,122,SE,52.67757797241211,50.556312734391085
2015-02-24 13:36:10,4,3,-3.615984,-59.0559,116.15894547294478,94,172,SE,34.74617004394531,47.664811008028295
2015-02-24 14:00:05,9,0,-3.8320138,-59.883965,76.5230845053289,82,126,SE,54.341644287109375,50.77242436150496
2015-02-24 14:00:05,9,1,-3.7601123,-59.703926,74.81829327919277,86,136,SE,41.80317687988281,48.94964856034199
2015-02-24 14:00:05,9,2,-3.0949519,-60.963596,108.16067637333788,123,66,NW,50.81096267700195,50.30561872845365
2015-02-24 14:00:05,9,3,-2.8435557,-60.819466,97.97564869052931,137,74,NW,39.154457092285156,48.4947992607444
2015-02-24 14:00:05,9,4,-3.5438972,-58.839962,135.2847505601595,98,184,SE,24.14715576171875,45.13615569337064
2015-02-24 14:00:05,9,5,-3.72376,-59.03779,123.64625136842763,88,173,SE,33.346763610839844,47.37915901106422
2015-02-24 14:00:05,9,6,-4.029155,-59.019455,145.45462927456637,71,174,SE,39.344688415527344,48.528477721893964
2015-02-24 14:00:05,9,7,-3.0774128,-59.776093,25.255883897082988,124,132,NE,41.00201416015625,48.815183017192105
2015-02-24 14:00:05,9,8,-3.8139138,-59.469833,93.6991933293945,83,149,SE,39.532711029052734,48.56160552327332
2015-02-24 14:12:08,12,0,-3.7960334,-59.667904,80.14367604045474,84,138,SE,79.97505187988281,53.45757244437466
2015-02-24 14:12:08,12,1,-3.8140473,-59.883965,74.56163042755975,83,126,SE,45.70185470581055,49.56924116113751
