DATETIME,N_Cluster,ID_CLUS,LAT,LON,DIST,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2015-04-29 00:00:13,5,0,-2.6628554,-61.71861,199.33100808167538,147,24,NW,44.57514572143555,49.395784302397544
2015-04-29 00:00:13,5,0,-2.6091013,-61.62861,191.48581944795794,150,29,NW,49.31381607055664,50.09779773285409
2015-04-29 00:00:13,5,0,-2.6089926,-61.700546,199.10485737275926,150,25,NW,23.20732307434082,44.8603007279568
2015-04-29 00:00:13,5,0,-2.6270385,-61.646618,192.7854262646074,149,28,NW,35.92268753051758,47.89620108697467
2015-04-29 00:00:13,5,0,-2.6270113,-61.6646,194.69491301359523,149,27,NW,81.26039123535156,53.56836249975467
2015-04-29 00:00:13,5,0,-2.626984,-61.682587,196.60671844994286,149,26,NW,120.31855010986328,56.2956213941488
2015-04-29 00:00:13,5,0,-2.6269562,-61.700573,198.52016696986527,149,25,NW,29.722732543945312,46.57971969361749
2015-04-29 00:00:13,5,0,-2.645029,-61.62866,190.28834652390663,148,29,NW,23.844205856323242,45.048425758354504
2015-04-29 00:00:13,5,0,-2.6450021,-61.646645,192.20212328337004,148,28,NW,32.45549774169922,47.19091233927024
2015-04-29 00:00:13,5,0,-2.6449199,-61.7006,197.953673107177,148,25,NW,70.76622772216797,52.60751668686403
2015-04-29 00:00:13,5,0,-2.644892,-61.718582,199.87377920891643,148,24,NW,39.03400802612305,48.473390310015844
2015-04-29 00:00:13,5,0,-2.6629388,-61.664654,193.55837160854708,147,27,NW,23.345537185668945,44.901561902051114
2015-04-29 00:00:13,5,0,-2.6629114,-61.68264,195.48113042638033,147,26,NW,72.16765594482422,52.743781546126755
2015-04-29 00:00:13,5,0,-2.6628835,-61.700626,197.40543183816172,147,25,NW,110.76124572753906,55.72050526215353
2015-04-29 00:00:13,5,0,-2.680819,-61.718636,198.8063752766843,146,24,NW,41.67753219604492,48.92873188738018
2015-04-29 00:00:13,5,0,-2.6988108,-61.700676,196.36440855772992,145,25,NW,31.4926700592041,46.981651687990684
2015-04-29 00:00:13,5,0,-2.6091278,-61.610622,189.5855368447767,150,30,NW,27.056079864501953,45.92653791202983
2015-04-29 00:00:13,5,0,-2.5910566,-61.682537,197.8059962438918,151,26,NW,22.50537872314453,44.646881167748795
2015-04-29 00:00:13,5,0,-2.5910838,-61.66455,195.90583579185218,151,27,NW,89.8582992553711,54.26723106799298
2015-04-29 00:00:13,5,0,-2.5911107,-61.64657,194.00842695266147,151,28,NW,89.77662658691406,54.26091247639199
2015-04-29 00:00:13,5,0,-2.483328,-61.64642,198.1098187045094,157,28,NW,32.740562438964844,47.25167812843039
2015-04-29 00:00:13,5,0,-2.5012918,-61.646442,197.38190456100892,156,28,NW,36.08419418334961,47.9273721368823
2015-04-29 00:00:13,5,0,-2.501265,-61.664425,199.24764212847043,156,27,NW,35.03728485107422,47.72278706000857
2015-04-29 00:00:13,5,0,-2.5193083,-61.6105,192.9344808634567,155,30,NW,25.501575469970703,45.51537214352285
2015-04-29 00:00:13,5,0,-2.519282,-61.628483,194.80171981166612,155,29,NW,36.24191665649414,47.957678473576316
2015-04-29 00:00:13,5,0,-2.5192556,-61.646465,196.67145748135215,155,28,NW,42.17753219604492,49.0115986064358
2015-04-29 00:00:13,5,0,-2.519229,-61.66445,198.54404032743233,155,27,NW,29.09052276611328,46.43032436831411
2015-04-29 00:00:13,5,0,-2.6987827,-61.718662,198.30024346254,145,24,NW,49.33181381225586,50.100333296163754
2015-04-29 00:00:13,5,0,-2.537298,-61.59254,190.35674520532254,154,31,NW,30.37444496154785,46.73043356826994
2015-04-29 00:00:13,5,0,-2.5552096,-61.628532,193.42082369400654,153,29,NW,47.871482849121094,49.89153004037577
2015-04-29 00:00:13,5,0,-2.5551832,-61.646515,195.30382707616963,153,28,NW,66.07649230957031,52.131051640980516
2015-04-29 00:00:13,5,0,-2.5551562,-61.6645,197.18935382156644,153,27,NW,26.650602340698242,45.82161242277014
2015-04-29 00:00:13,5,0,-2.573226,-61.59259,188.98532480518477,152,31,NW,34.395179748535156,47.594261291135815
2015-04-29 00:00:13,5,0,-2.5732,-61.610573,190.8701528553654,152,30,NW,46.367469787597656,49.66971431917525
2015-04-29 00:00:13,5,0,-2.5731735,-61.62856,192.75772724602135,152,29,NW,52.03250503540039,50.47069571546616
2015-04-29 00:00:13,5,0,-2.5911374,-61.628582,192.11224386295225,151,29,NW,61.5804443359375,51.64138504857783
2015-04-29 00:00:13,5,0,-2.5372722,-61.610523,192.22817626410836,154,30,NW,31.389020919799805,46.95874426836436
2015-04-29 00:00:13,5,0,-2.716746,-61.718693,197.81330782151147,144,24,NW,23.40128517150879,44.918135300889624
2015-04-29 00:00:13,5,0,-2.698754,-61.73665,200.23756359946657,145,23,NW,32.72578048706055,47.24854016411299
2015-04-29 00:00:13,5,0,-2.7346811,-61.736706,199.29104659591042,143,23,NW,23.543903350830078,44.96035541727469
2015-04-29 00:00:13,5,1,-4.496733,-59.7217,152.0734008084286,45,135,SE,24.461366653442383,45.22599143432857
2015-04-29 00:00:13,5,1,-4.568603,-59.739697,159.50863929557602,41,134,SE,26.28237533569336,45.724933766500556
2015-04-29 00:00:13,5,1,-4.5685925,-59.70365,160.2593206263792,41,136,SE,38.808284759521484,48.43309112955539
2015-04-29 00:00:13,5,1,-4.5506372,-59.7397,157.55323850690186,42,134,SE,35.4815673828125,47.81034469829352
2015-04-29 00:00:13,5,1,-4.550632,-59.72168,157.92092838608428,42,135,SE,47.268226623535156,49.80340890144154
2015-04-29 00:00:13,5,1,-4.5506263,-59.70366,158.3130145991646,42,136,SE,38.592018127441406,48.39425979857381
2015-04-29 00:00:13,5,1,-4.5506206,-59.68564,158.7293703627481,42,137,SE,26.819664001464844,45.86555327951174
2015-04-29 00:00:13,5,1,-4.532671,-59.739708,155.59848749902704,43,134,SE,23.387718200683594,44.91410559455283
2015-04-29 00:00:13,5,1,-4.5326657,-59.721687,155.97080035688833,43,135,SE,37.290748596191406,48.15591758430406
2015-04-29 00:00:13,5,1,-4.5326543,-59.685646,156.78933636276304,43,137,SE,32.368228912353516,47.17220294584041
2015-04-29 00:00:13,5,1,-4.5146995,-59.72169,154.02170626027376,44,135,SE,23.742321014404297,45.01867071958574
2015-04-29 00:00:13,5,1,-4.514688,-59.68565,154.85053617625456,44,137,SE,25.616127014160156,45.54651544419201
2015-04-29 00:00:13,5,1,-4.4967275,-59.70368,152.4805681758412,45,136,SE,23.845802307128906,45.04889098269981
2015-04-29 00:00:13,5,1,-4.460806,-59.73973,147.7882077762944,47,134,SE,26.546335220336914,45.79437314467314
2015-04-29 00:00:13,5,1,-4.4607954,-59.70369,148.59803305062277,47,136,SE,24.61722183227539,45.270124584047906
2015-04-29 00:00:13,5,1,-4.4608006,-59.72171,148.18014547587262,47,135,SE,28.358789443969727,46.253302966415745
2015-04-29 00:00:13,5,1,-4.424863,-59.703705,144.72027858792003,49,136,SE,28.228456497192383,46.22129406900771
2015-04-29 00:00:13,5,1,-4.4428444,-59.757755,145.46716007866206,48,133,SE,45.91136169433594,49.60102273719453
2015-04-29 00:00:13,5,1,-4.4428396,-59.739735,145.83794083114054,48,134,SE,49.0807991027832,50.064885957005515
2015-04-29 00:00:13,5,1,-4.442829,-59.703697,146.65850571785484,48,136,SE,38.574527740478516,48.39110984136312
2015-04-29 00:00:13,5,1,-4.4248867,-59.793797,142.84235036166973,49,131,SE,39.2452392578125,48.510891654159366
2015-04-29 00:00:13,5,1,-4.4248824,-59.77578,143.16398004959635,49,132,SE,59.40226745605469,51.391148322091865
2015-04-29 00:00:13,5,1,-4.424878,-59.75776,143.51284803253918,49,133,SE,80.8638916015625,53.53437416570156
2015-04-29 00:00:13,5,1,-4.4248734,-59.739742,143.8886510969211,49,134,SE,90.59998321533203,54.324349832141785
2015-04-29 00:00:13,5,1,-4.442853,-59.793793,144.80569631226894,48,131,SE,23.21986961364746,44.86405638414364
