,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
21,2014,05,09,00,00,4,0,-3.939575,-60.676315,76.0,82.0,SW,35.44901657104492,47.80396702000063
0,2014,05,09,00,00,4,1,-4.5863857,-59.361225,40.0,155.0,SE,26.542478561401367,45.79336356057258
25,2014,05,09,00,00,4,2,-2.6811123,-61.520794,146.0,35.0,NW,27.51042938232422,46.042257859097944
3,2014,05,09,00,00,4,3,-4.335042,-60.244232,54.0,106.0,SW,23.322492599487305,44.894699379694146
4,2014,05,09,01,00,3,0,-4.2631817,-60.226196,58.0,107.0,SW,81.35653686523438,53.576579213105816
9,2014,05,09,01,00,3,1,-2.2688248,-60.53139,169.0,90.0,NW,71.08222961425781,52.63847662427625
8,2014,05,09,01,00,3,2,-2.5559566,-60.999096,153.0,64.0,NW,24.257455825805664,45.16782394349978
8,2014,05,09,01,12,2,0,-4.2272344,-60.280228,60.0,104.0,SW,57.1876220703125,51.12713257165417
15,2014,05,09,01,12,2,1,-2.6988935,-61.64672,145.0,28.0,NW,30.691890716552734,46.802678247129634
10,2014,05,09,01,24,2,0,-4.191302,-60.280216,62.0,104.0,SW,68.13542175292969,52.3442671328348
14,2014,05,09,01,24,2,1,-3.6875968,-61.162216,90.0,55.0,SW,30.814571380615234,46.8303980563481
4,2014,05,09,01,36,5,0,-4.15533,-60.38828,64.0,98.0,SW,46.14421463012695,49.63617609644176
15,2014,05,09,01,36,5,1,-3.1299083,-58.264656,121.0,216.0,NE,37.08099365234375,48.1167217700019
13,2014,05,09,01,36,5,2,-3.6516452,-61.180176,92.0,54.0,SW,30.586292266845703,46.77872930234348
7,2014,05,09,01,36,5,3,-3.921609,-60.6763,77.0,82.0,SW,46.62655258178711,49.70843285737797
18,2014,05,09,01,36,5,4,-2.5200884,-60.927135,155.0,68.0,NW,27.989694595336914,46.162270512858086
16,2014,05,09,02,00,7,0,-3.9035459,-60.80234,78.0,75.0,SW,63.08450698852539,51.8090633703315
2,2014,05,09,02,00,7,1,-4.1193976,-60.388264,66.0,98.0,SW,29.870018005371094,46.6140677069264
4,2014,05,09,02,00,7,2,-4.0654287,-60.532326,69.0,90.0,SW,46.75971603393555,49.72824979792428
25,2014,05,09,02,00,7,3,-3.2016714,-58.210556,117.0,219.0,SE,25.527002334594727,45.52229704616359
27,2014,05,09,02,00,7,4,-2.9511604,-58.948574,131.0,178.0,NE,22.918743133544922,44.773352711681056
24,2014,05,09,02,00,7,5,-3.5621524,-59.127956,97.0,168.0,SE,42.61216735839844,49.08283794120155
23,2014,05,09,02,00,7,6,-3.705474,-61.234253,89.0,51.0,SW,24.249317169189453,45.16549217927078
29,2014,05,09,02,24,3,0,-3.8495696,-60.892326,81.0,70.0,SW,72.54524230957031,52.78004292683587
5,2014,05,09,02,24,3,1,-4.0474305,-60.586346,70.0,87.0,SW,38.957794189453125,48.459809699415885
8,2014,05,09,02,24,3,2,-3.9934595,-60.694366,73.0,81.0,SW,94.14014434814453,54.590697714862884
10,2014,05,09,02,36,2,0,-3.9574275,-60.8204,75.0,74.0,SW,61.917484283447266,51.679312797987045
20,2014,05,09,02,36,2,1,-3.8315701,-60.928318,82.0,68.0,SW,69.63695526123047,52.49573634366715
13,2014,05,09,02,48,5,0,-3.9394922,-60.784367,76.0,76.0,SW,62.942054748535156,51.79335461884095
25,2014,05,09,02,48,5,1,-3.8135512,-60.98232,83.0,65.0,SW,91.94295501708984,54.42659528022347
35,2014,05,09,02,48,5,2,-3.5433364,-61.558052,98.0,33.0,SW,31.7711181640625,47.04281995361566
0,2014,05,09,02,48,5,3,-4.065385,-60.60437,69.0,86.0,SW,31.102359771728516,46.894993407801834
31,2014,05,09,02,48,5,4,-3.6156268,-61.252136,94.0,50.0,SW,44.850189208984375,49.43852842923468
17,2014,05,09,03,00,7,0,-3.8135328,-61.000324,83.0,64.0,SW,58.52507781982422,51.28777195413114
28,2014,05,09,03,00,7,1,-3.7234387,-61.234276,88.0,51.0,SW,45.19212341308594,49.49130392023445
8,2014,05,09,03,00,7,2,-3.9214149,-60.910404,77.0,69.0,SW,35.605628967285156,47.834598547209104
10,2014,05,09,03,00,7,3,-3.9215114,-60.802357,77.0,75.0,SW,29.836702346801758,46.60631310478102
38,2014,05,09,03,00,7,4,-3.5253155,-61.59402,99.0,31.0,SW,30.294578552246094,46.712138598546396
0,2014,05,09,03,00,7,5,-4.0476146,-59.95598,70.0,122.0,SE,39.469303131103516,48.55045129379427
40,2014,05,09,03,00,7,6,-2.7888718,-58.445076,140.0,206.0,NE,25.653772354125977,45.5567197420314
14,2014,05,09,03,12,10,0,-3.7954705,-61.090332,84.0,59.0,SW,69.90274810791016,52.522207950748864
27,2014,05,09,03,12,10,1,-3.7233927,-61.270287,88.0,49.0,SW,42.76409912109375,49.107569196774094
4,2014,05,09,03,12,10,2,-4.047615,-59.97399,70.0,121.0,SE,43.63114547729492,49.24704579594413
38,2014,05,09,03,12,10,3,-3.525228,-61.64802,99.0,28.0,SW,25.429508209228516,45.49570733701557
36,2014,05,09,03,12,10,4,-3.5975924,-61.306118,95.0,47.0,SW,22.216781616210938,44.55719829382445
8,2014,05,09,03,12,10,5,-3.9037135,-60.56824,78.0,88.0,SW,49.56320571899414,50.13285017302594
40,2014,05,09,03,12,10,6,-2.1610978,-60.351566,175.0,100.0,NW,32.015106201171875,47.09597910565111
