,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
195,2014,11,18,00,00,10,0,-3.454112,-61.107933,103.0,58.0,SW,85.75961303710938,53.942824960445186
191,2014,11,18,00,00,10,1,-3.4540303,-61.179928,103.0,54.0,SW,57.60999298095703,51.17826511365238
32,2014,11,18,00,00,10,2,-3.8678021,-60.532207,80.0,90.0,SW,96.32652282714844,54.750234092735084
78,2014,11,18,00,00,10,3,-3.7240317,-60.604137,88.0,86.0,SW,67.34984588623047,52.2636856571625
14,2014,11,18,00,00,10,4,-3.9214807,-60.83837,77.0,73.0,SW,47.63047409057617,49.85645842526665
244,2014,11,18,00,00,10,5,-3.0763497,-61.50335,124.0,36.0,NW,32.027889251708984,47.09875304629876
105,2014,11,18,00,00,10,6,-3.5621367,-60.874046,97.0,71.0,SW,68.558349609375,52.387265626430626
1,2014,11,18,00,00,10,7,-4.388898,-60.370373,51.0,99.0,SW,72.18305969238281,52.74526454814692
99,2014,11,18,00,00,10,8,-3.5802448,-60.69405,96.0,81.0,SW,41.65327453613281,48.92468633695601
248,2014,11,18,00,00,10,9,-2.9870367,-61.089436,129.0,59.0,NW,24.83176040649414,45.33042010437419
133,2014,11,18,00,12,7,0,-3.544171,-60.87403,98.0,71.0,SW,75.14054107666016,53.0242890451713
36,2014,11,18,00,12,7,1,-3.885758,-60.550224,79.0,89.0,SW,68.21956634521484,52.35284322669331
80,2014,11,18,00,12,7,2,-3.7419746,-60.64016,87.0,84.0,SW,61.18691635131836,51.596837021062285
2,2014,11,18,00,12,7,3,-4.4607625,-60.370407,47.0,99.0,SW,98.3044662475586,54.89147194858375
254,2014,11,18,00,12,7,4,-3.0763497,-61.50335,124.0,36.0,NW,27.207073211669922,45.96520916086759
15,2014,11,18,00,12,7,5,-3.939462,-60.82038,76.0,74.0,SW,24.737409591674805,45.30396747651629
0,2014,11,18,00,12,7,6,-4.5506206,-60.298363,42.0,103.0,SW,22.66402816772461,44.69569357696905
54,2014,11,18,00,24,9,0,-3.903744,-60.51422,78.0,91.0,SW,71.14537048339844,52.64464628087353
