,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2,2015,03,05,06,36,3,0,-3.2927787,-59.27216,112.0,160.0,SE,50.06018829345703,50.20217961752103
3,2015,03,05,06,36,3,1,-3.2749321,-60.513874,113.0,91.0,SW,25.470548629760742,45.50691275132209
0,2015,03,05,06,36,3,2,-3.5444136,-59.451984,98.0,150.0,SE,26.730972290039062,45.84253604797177
4,2015,03,05,06,48,4,0,-3.2748492,-59.32616,113.0,157.0,SE,30.291234970092773,46.71137163390115
2,2015,03,05,06,48,4,1,-3.3108454,-60.549885,111.0,89.0,SW,22.626209259033203,44.68408874689035
1,2015,03,05,06,48,4,2,-3.4366074,-60.549957,104.0,89.0,SW,26.890626907348633,45.88391479100981
0,2015,03,05,06,48,4,3,-3.5802813,-60.640045,96.0,84.0,SW,21.865795135498047,44.44654435353547
11,2015,03,05,07,12,3,0,-3.4903898,-60.729984,101.0,79.0,SW,32.18415069580078,47.13257280566974
13,2015,03,05,07,12,3,1,-3.328821,-59.452103,110.0,150.0,SE,29.06838607788086,46.42503467236771
0,2015,03,05,07,12,3,2,-3.6522546,-59.541935,92.0,145.0,SE,24.571121215820312,45.25709954732723
6,2015,03,05,07,24,2,0,-3.5083287,-60.766,100.0,77.0,SW,28.0767765045166,46.1838558759745
11,2015,03,05,07,24,2,1,-3.328848,-59.506092,110.0,147.0,SE,58.31318283081055,51.262567902006175
6,2015,03,05,07,48,1,0,-3.4901915,-60.963978,101.0,66.0,SW,31.795028686523438,47.04804749511362
4,2015,03,05,08,00,2,0,-3.5081215,-60.999996,100.0,64.0,SW,32.53553009033203,47.20802614767792
0,2015,03,05,08,00,2,1,-3.7057033,-61.036213,89.0,62.0,SW,22.127233505249023,44.52913385936058
2,2015,03,05,08,24,1,0,-3.7235053,-61.180267,88.0,54.0,SW,33.8582763671875,47.48493748598573
3,2015,03,05,08,36,1,0,-3.7593684,-61.234325,86.0,51.0,SW,28.325626373291016,46.245172313905734
3,2015,03,05,12,00,2,0,-3.5439966,-58.929966,98.0,179.0,SE,23.994600296020508,45.092116273701
0,2015,03,05,12,00,2,1,-3.597639,-58.713886,95.0,191.0,SE,25.627811431884766,45.54968427368257
5,2015,03,05,12,24,2,0,-3.6518805,-59.01986,92.0,174.0,SE,28.213411331176758,46.21758956638308
7,2015,03,05,12,24,2,1,-3.6516452,-58.803825,92.0,186.0,SE,38.1702880859375,48.31790696063999
1,2015,03,05,12,36,2,0,-3.6877754,-58.983814,90.0,176.0,SE,29.390478134155273,46.50160637869371
8,2015,03,05,12,36,2,1,-3.561962,-58.929947,97.0,179.0,SE,29.441558837890625,46.513672769445556
6,2015,03,05,12,48,3,0,-3.723777,-59.05579,88.0,172.0,SE,44.56222152709961,49.39376928885313
0,2015,03,05,12,48,3,1,-3.7775054,-58.893692,85.0,181.0,SE,27.594449996948242,46.06344783311745
26,2015,03,05,12,48,3,2,-3.5440702,-59.00197,98.0,175.0,SE,31.232574462890625,46.924024501733285
10,2015,03,05,13,00,3,0,-3.759725,-59.07376,86.0,171.0,SE,38.971134185791016,48.462188682204655
19,2015,03,05,13,00,3,1,-3.580036,-59.037933,96.0,173.0,SE,29.13166618347168,46.440145153095756
0,2015,03,05,13,00,3,2,-3.8314602,-58.947643,82.0,178.0,SE,28.863311767578125,46.37583852356321
18,2015,03,05,13,12,3,0,-3.7777238,-59.109753,85.0,169.0,SE,33.468807220458984,47.40454371681259
4,2015,03,05,13,12,3,1,-3.8494637,-58.98364,81.0,176.0,SE,46.18944549560547,49.64298393378595
25,2015,03,05,13,12,3,2,-3.6160645,-59.14591,94.0,167.0,SE,24.18168830871582,45.146085860713264
3,2015,03,05,13,24,1,0,-3.885449,-59.03762,79.0,173.0,SE,38.53608322143555,48.38418109579936
37,2015,03,05,13,48,2,0,-3.867812,-59.469803,80.0,149.0,SE,41.07142639160156,48.82693653202581
1,2015,03,05,13,48,2,1,-3.9933743,-59.18158,73.0,165.0,SE,35.75117492675781,47.86294506107578
46,2015,03,05,14,00,3,0,-3.8678396,-59.523823,80.0,146.0,SE,39.32394027709961,48.52481240223093
13,2015,03,05,14,00,3,1,-3.9755435,-59.361687,74.0,155.0,SE,53.5632438659668,50.67216988665271
3,2015,03,05,14,00,3,2,-4.0113697,-59.217583,72.0,163.0,SE,26.912059783935547,45.88945097879392
24,2015,03,05,14,24,5,0,-3.903818,-59.631847,78.0,140.0,SE,36.22563171386719,47.954555437790354
11,2015,03,05,14,24,5,1,-4.0115094,-59.415688,72.0,152.0,SE,36.809898376464844,48.0657338520423
30,2015,03,05,14,24,5,2,-3.760101,-59.667915,86.0,138.0,SE,29.00642204284668,46.41020654316014
33,2015,03,05,14,24,5,3,-2.9157376,-59.95602,133.0,122.0,NE,21.91213607788086,44.46125541732293
0,2015,03,05,14,24,5,4,-4.1732445,-60.49637,63.0,92.0,SW,28.96217918395996,46.399599734479665
2,2015,03,05,14,36,6,0,-4.0834413,-59.54172,68.0,145.0,SE,26.659982681274414,45.82405776389912
9,2015,03,05,14,36,6,1,-3.939769,-59.68586,76.0,137.0,SE,28.171377182006836,46.20722921046489
13,2015,03,05,14,36,6,2,-3.7601068,-59.68592,86.0,137.0,SE,22.402894973754883,44.61516624276442
15,2015,03,05,14,36,6,3,-2.8438244,-59.66821,137.0,138.0,NE,22.105852127075195,44.522416125684536
14,2015,03,05,14,36,6,4,-3.5441866,-60.85603,98.0,72.0,SW,21.83433723449707,44.43654017684425
0,2015,03,05,14,36,6,5,-4.137364,-60.38827,65.0,98.0,SW,26.79596710205078,45.859410931476546
4,2015,03,05,14,48,5,0,-3.921827,-59.775906,77.0,132.0,SE,24.26308250427246,45.16943555656403
