,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
12,2015,10,12,00,00,7,0,-3.3465495,-60.87385,109.0,71.0,SW,79.77330017089844,53.44002089920779
27,2015,10,12,00,00,7,1,-3.004905,-61.17941,128.0,54.0,NW,43.683921813964844,49.25544589468288
35,2015,10,12,00,00,7,2,-2.7536552,-60.909336,142.0,69.0,NW,69.50995635986328,52.48305221021563
22,2015,10,12,00,00,7,3,-3.148897,-60.909668,120.0,69.0,SW,61.50967788696289,51.63339520019693
9,2015,10,12,00,00,7,4,-3.3646545,-60.693893,108.0,81.0,SW,87.87205505371094,54.11191248968709
19,2015,10,12,00,00,7,5,-3.256456,-61.143703,114.0,56.0,SW,24.617414474487305,45.27017896101885
0,2015,10,12,00,00,7,6,-3.8857138,-60.622253,79.0,85.0,SW,22.19652557373047,44.55085994983449
12,2015,10,12,00,12,6,0,-3.3644505,-60.945858,108.0,67.0,SW,53.18934631347656,50.62349440400425
43,2015,10,12,00,12,6,1,-2.7536244,-60.94531,142.0,67.0,NW,132.218017578125,56.950950216531375
16,2015,10,12,00,12,6,2,-3.3646545,-60.693893,108.0,81.0,SW,107.9485092163086,55.54176634136637
31,2015,10,12,00,12,6,3,-3.004864,-61.21539,128.0,52.0,NW,41.32619857788086,48.86990728795915
27,2015,10,12,00,12,6,4,-3.1668465,-60.927677,119.0,68.0,SW,47.830345153808594,49.88555619413417
0,2015,10,12,00,12,6,5,-3.9036431,-60.67629,78.0,82.0,SW,22.571773529052734,44.66735090356451
19,2015,10,12,00,24,9,0,-3.4003294,-60.999886,106.0,64.0,SW,120.06104278564453,56.28073373399224
61,2015,10,12,00,24,9,1,-2.771541,-60.999287,141.0,64.0,NW,87.97972106933594,54.12042124875188
31,2015,10,12,00,24,9,2,-3.3646293,-60.72989,108.0,79.0,SW,93.53327941894531,54.545758542832246
52,2015,10,12,00,24,9,3,-3.0227869,-61.251392,127.0,50.0,NW,43.8469352722168,49.28132784931246
45,2015,10,12,00,24,9,4,-3.1667967,-60.98166,119.0,65.0,SW,56.47182846069336,51.03960955140809
36,2015,10,12,00,24,9,5,-3.3102243,-61.251743,111.0,50.0,SW,105.52732849121094,55.38413905690048
38,2015,10,12,00,24,9,6,-3.3103511,-61.143764,111.0,56.0,SW,37.447330474853516,48.185033770841386
4,2015,10,12,00,24,9,7,-3.471974,-61.197952,102.0,53.0,SW,30.923463821411133,46.85491010830128
0,2015,10,12,00,24,9,8,-3.8675838,-60.83832,80.0,73.0,SW,27.57039451599121,46.05738764698632
30,2015,10,12,00,36,9,0,-3.4182584,-61.0359,105.0,62.0,SW,127.98957061767578,56.725093270039366
101,2015,10,12,00,36,9,1,-2.7894726,-61.035275,140.0,62.0,NW,134.0895538330078,57.048619088094824
41,2015,10,12,00,36,9,2,-3.4005342,-60.76591,106.0,77.0,SW,109.19903564453125,55.621800805541795
81,2015,10,12,00,36,9,3,-3.0586505,-61.305412,125.0,47.0,NW,57.496341705322266,51.164543363086814
57,2015,10,12,00,36,9,4,-3.346063,-61.323776,109.0,46.0,SW,119.37752532958984,56.241061105724896
73,2015,10,12,00,36,9,5,-3.2025998,-61.107655,117.0,58.0,SW,55.122257232666016,50.87153185160751
5,2015,10,12,00,36,9,6,-3.5437899,-61.23404,98.0,51.0,SW,68.51443481445312,52.38281322894765
91,2015,10,12,00,36,9,7,-2.9150996,-61.16132,133.0,55.0,NW,81.3573989868164,53.576652847048734
4,2015,10,12,00,36,9,8,-3.561923,-61.090057,97.0,59.0,SW,26.007009506225586,45.65174661930956
12,2015,10,12,00,48,10,0,-3.4900622,-61.089973,101.0,59.0,SW,162.26092529296875,58.373723128052475
122,2015,10,12,00,48,10,1,-2.789401,-61.107227,140.0,58.0,NW,161.94923400878906,58.36036232808024
79,2015,10,12,00,48,10,2,-3.2925546,-60.98178,112.0,65.0,SW,157.69552612304688,58.175409915329304
76,2015,10,12,00,48,10,3,-3.292464,-61.071762,112.0,60.0,SW,118.3670654296875,56.181994047283126
31,2015,10,12,00,48,10,4,-3.4544032,-60.801952,103.0,75.0,SW,75.35810852050781,53.044379783554646
143,2015,10,12,00,48,10,5,-2.5016353,-61.39468,156.0,42.0,NW,28.208709716796875,46.21643150417739
69,2015,10,12,00,48,10,6,-3.3460155,-61.359768,109.0,44.0,SW,30.2286376953125,46.69699716309459
1,2015,10,12,00,48,10,7,-3.6163054,-60.478054,94.0,93.0,SW,76.00865173339844,53.104108419705426
98,2015,10,12,00,48,10,8,-3.076523,-61.377403,124.0,43.0,NW,25.69965934753418,45.569137824436
7,2015,10,12,00,48,10,9,-3.5078378,-61.251995,100.0,50.0,SW,27.0133056640625,45.91554368131689
137,2015,10,12,01,00,10,0,-2.8073475,-61.125233,139.0,57.0,NW,141.801025390625,57.43716989785183
24,2015,10,12,01,00,10,1,-3.4900224,-61.125973,101.0,57.0,SW,149.7556915283203,57.81643334736394
56,2015,10,12,01,00,10,2,-3.4543586,-60.85595,103.0,72.0,SW,76.46029663085938,53.145275613432574
104,2015,10,12,01,00,10,3,-3.0944395,-61.41341,123.0,41.0,NW,58.385196685791016,51.271143917937316
82,2015,10,12,01,00,10,4,-3.3284678,-60.999813,110.0,64.0,SW,61.88520812988281,51.67568965075251
76,2015,10,12,01,00,10,5,-3.3646162,-60.747887,108.0,78.0,SW,60.54107666015625,51.52310219928673
0,2015,10,12,01,00,10,6,-3.6342437,-60.53207,93.0,90.0,SW,109.413818359375,55.635454747830295
92,2015,10,12,01,00,10,7,-3.256216,-61.341652,114.0,45.0,SW,57.99954605102539,51.22509346790715
93,2015,10,12,01,00,10,8,-3.2563515,-61.23368,114.0,51.0,SW,26.461273193359375,45.77207174198699
96,2015,10,12,01,00,10,9,-3.16659,-61.179592,119.0,54.0,SW,27.14149284362793,45.94843965522518
20,2015,10,12,01,12,12,0,-3.5079253,-61.179996,100.0,54.0,SW,83.37641906738281,53.74699177557414
160,2015,10,12,01,12,12,1,-2.8252547,-61.179214,138.0,54.0,NW,140.86558532714844,57.39117842375242
114,2015,10,12,01,12,12,2,-3.2742946,-61.251698,113.0,50.0,SW,110.75831604003906,55.720321463001184
47,2015,10,12,01,12,12,3,-3.4722261,-60.96396,102.0,66.0,SW,100.36918640136719,55.035906416591814
136,2015,10,12,01,12,12,4,-3.0943139,-61.503372,123.0,36.0,NW,86.87471008300781,54.03259384911172
102,2015,10,12,01,12,12,5,-3.328356,-61.10779,110.0,58.0,SW,69.4401626586914,52.47607162822173
84,2015,10,12,01,12,12,6,-3.3819447,-61.359818,107.0,44.0,SW,56.13733673095703,50.998328836265834
89,2015,10,12,01,12,12,7,-3.3825545,-60.783897,107.0,76.0,SW,57.05479049682617,51.11097379654774
189,2015,10,12,01,12,12,8,-2.5015895,-61.430645,156.0,40.0,NW,44.98802947998047,49.4598514935346
185,2015,10,12,01,12,12,9,-2.7351966,-61.376972,143.0,43.0,NW,47.64726638793945,49.85890778718384
1,2015,10,12,01,12,12,10,-3.6342337,-60.55007,93.0,89.0,SW,41.69645309448242,48.931885769741534
52,2015,10,12,01,12,12,11,-3.4536512,-61.46791,103.0,38.0,SW,21.91769027709961,44.46301652534319
6,2015,10,12,01,24,12,0,-3.5617323,-61.252064,97.0,50.0,SW,73.31653594970703,52.85353095319823
99,2015,10,12,01,24,12,1,-3.3101568,-61.305733,111.0,47.0,SW,87.04745483398438,54.046397194640704
190,2015,10,12,01,24,12,2,-2.8431797,-61.21521,137.0,52.0,NW,120.31196594238281,56.295241130810325
154,2015,10,12,01,24,12,3,-3.1122258,-61.539387,122.0,34.0,NW,85.90682220458984,53.95474242486103
55,2015,10,12,01,24,12,4,-3.4541888,-61.03594,103.0,62.0,SW,69.65863800048828,52.49789961533834
177,2015,10,12,01,24,12,5,-2.9507713,-61.37724,131.0,43.0,NW,96.49186706542969,54.762151314189474
72,2015,10,12,01,24,12,6,-3.3998601,-61.39584,106.0,42.0,SW,56.41386032104492,51.0324730590757
218,2015,10,12,01,24,12,7,-2.7351737,-61.39496,143.0,42.0,NW,99.66900634765625,54.98726201382647
159,2015,10,12,01,24,12,8,-3.09458,-61.305458,123.0,47.0,NW,131.3590545654297,56.90566018104877
111,2015,10,12,01,24,12,9,-3.2925012,-61.035767,112.0,62.0,SW,76.01216125488281,53.10442925278822
92,2015,10,12,01,24,12,10,-3.3645747,-60.80188,108.0,75.0,SW,30.59383773803711,46.78044330014931
225,2015,10,12,01,24,12,11,-2.4117212,-61.466503,161.0,38.0,NW,25.41164779663086,45.49082519534035
79,2015,10,12,01,36,13,0,-3.2741086,-61.395664,113.0,42.0,SW,76.6632080078125,53.16369177351014
142,2015,10,12,01,36,13,1,-2.986604,-61.44925,129.0,39.0,NW,78.06208801269531,53.28934257509915
167,2015,10,12,01,36,13,2,-2.8610818,-61.269196,136.0,49.0,NW,148.94259643554688,57.778602682937844
78,2015,10,12,01,36,13,3,-3.274084,-61.41366,113.0,41.0,SW,70.36223602294922,52.56773407399295
15,2015,10,12,01,36,13,4,-3.561663,-61.30607,97.0,47.0,SW,102.8941879272461,55.20855345955772
111,2015,10,12,01,36,13,5,-3.1301086,-61.59339,121.0,31.0,NW,63.3998908996582,51.84371612521638
42,2015,10,12,01,36,13,6,-3.4182208,-61.071896,105.0,60.0,SW,53.73881530761719,50.69490936492117
190,2015,10,12,01,36,13,7,-2.7171626,-61.43091,144.0,40.0,NW,89.51667022705078,54.24076266488355
192,2015,10,12,01,36,13,8,-2.5195072,-61.466633,155.0,38.0,NW,47.779632568359375,49.87818484696267
197,2015,10,12,01,36,13,9,-2.429463,-61.628365,160.0,29.0,NW,47.75819396972656,49.87506627813451
20,2015,10,12,01,36,13,10,-3.5620532,-60.96405,97.0,66.0,SW,27.11983299255371,45.94289212882472
1,2015,10,12,01,36,13,11,-4.6764054,-59.757687,35.0,133.0,SE,37.46920394897461,48.18909141902978
44,2015,10,12,01,36,13,12,-3.41838,-60.909912,105.0,69.0,SW,27.432920455932617,46.022652664170906
150,2015,10,12,01,48,12,0,-2.968759,-61.359272,130.0,44.0,NW,158.15728759765625,58.19572728793212
65,2015,10,12,01,48,12,1,-3.2021253,-61.485535,117.0,37.0,SW,75.16398620605469,53.02645682347371
108,2015,10,12,01,48,12,2,-3.0403955,-61.52129,126.0,35.0,NW,78.7682876586914,53.35192242796716
188,2015,10,12,01,48,12,3,-2.7711258,-61.377014,141.0,43.0,NW,155.47903442382812,58.077049314326
211,2015,10,12,01,48,12,4,-2.4834316,-61.574486,157.0,32.0,NW,74.83190155029297,52.99568845587195
27,2015,10,12,01,48,12,5,-3.38182,-61.449806,107.0,39.0,SW,58.0528678894043,51.23147882597527
33,2015,10,12,01,48,12,6,-3.3101335,-61.323727,111.0,46.0,SW,62.7421760559082,51.77125318934352
164,2015,10,12,01,48,12,7,-2.9328754,-61.32325,132.0,46.0,NW,71.56477355957031,52.68548877986339
1,2015,10,12,01,48,12,8,-3.5795302,-61.378098,96.0,43.0,SW,39.300872802734375,48.520735082932546
201,2015,10,12,01,48,12,9,-2.5911639,-61.6106,151.0,30.0,NW,55.27237319946289,50.890429749363236
10,2015,10,12,01,48,12,10,-3.490002,-61.143974,101.0,56.0,SW,32.79866409301758,47.26399843707736
68,2015,10,12,01,48,12,11,-3.2025201,-61.17963,117.0,54.0,SW,81.91265869140625,53.623916313989895
170,2015,10,12,02,00,13,0,-3.0046883,-61.359318,128.0,44.0,NW,291.833251953125,62.452456350129
60,2015,10,12,02,00,13,1,-3.273956,-61.503635,113.0,36.0,SW,103.66178131103516,55.260198635511564
49,2015,10,12,02,00,13,2,-3.3100863,-61.359722,111.0,44.0,SW,49.15245056152344,50.07502275733364
21,2015,10,12,02,00,13,3,-3.4176428,-61.52185,105.0,35.0,SW,74.9679946899414,53.0083142623925
212,2015,10,12,02,00,13,4,-2.8069844,-61.431023,139.0,40.0,NW,63.246185302734375,51.826849334902136
235,2015,10,12,02,00,13,5,-2.519385,-61.55655,155.0,33.0,NW,66.04963684082031,52.12822690201385
97,2015,10,12,02,00,13,6,-3.1659522,-61.647427,119.0,28.0,SW,43.409629821777344,49.211677274755665
68,2015,10,12,02,00,13,7,-3.2563732,-61.215683,114.0,52.0,SW,64.35960388183594,51.948113755923586
225,2015,10,12,02,00,13,8,-2.7170656,-61.502853,144.0,36.0,NW,50.856529235839844,50.31184744318332
231,2015,10,12,02,00,13,9,-2.5730653,-61.700493,152.0,25.0,NW,48.476627349853516,49.97881831131036
1,2015,10,12,02,00,13,10,-3.5793746,-61.486107,96.0,37.0,SW,46.7999382019043,49.73422443023958
8,2015,10,12,02,00,13,11,-3.489917,-61.215973,101.0,52.0,SW,27.66715431213379,46.08173183424743
77,2015,10,12,02,00,13,12,-3.238756,-60.873756,115.0,71.0,SW,26.177104949951172,45.69704578362085
112,2015,10,12,02,12,13,0,-2.968615,-61.467216,130.0,38.0,NW,197.8561553955078,59.75189301123547
55,2015,10,12,02,12,13,1,-3.2559385,-61.5396,114.0,34.0,SW,86.35580444335938,53.99096450350541
20,2015,10,12,02,12,13,2,-3.4176698,-61.503853,105.0,36.0,SW,49.894554138183594,50.179150294051624
144,2015,10,12,02,12,13,3,-2.5193596,-61.574535,155.0,32.0,NW,79.35344696044922,53.40335269926342
133,2015,10,12,02,12,13,4,-2.5910013,-61.718506,151.0,24.0,NW,30.454864501953125,46.74880670229564
