,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
0,2014,01,23,00,00,1,0,-2.5204742,-59.8841,155.0,126.0,NE,39.64684295654297,48.58163772528581
4,2014,01,23,00,12,2,0,-2.520478,-59.93805,155.0,123.0,NE,41.462711334228516,48.892823126551306
0,2014,01,23,00,12,2,1,-2.6103039,-59.866108,150.0,127.0,NE,27.928974151611328,46.14717970209063
6,2014,01,23,08,36,2,0,-3.0050018,-61.089455,128.0,59.0,NW,43.35637664794922,49.20314764399084
1,2014,01,23,08,36,2,1,-3.2923658,-61.16174,112.0,55.0,SW,54.162513732910156,50.7494809511654
6,2014,01,23,10,12,2,0,-3.4721909,-60.999958,102.0,64.0,SW,46.23860168457031,49.650375028340605
1,2014,01,23,10,12,2,1,-3.6512043,-61.504223,92.0,36.0,SW,28.773208618164062,46.35411266935353
2,2014,01,23,11,24,3,0,-3.5440702,-60.982033,98.0,65.0,SW,34.88301467895508,47.692124128119545
1,2014,01,23,11,24,3,1,-3.6157782,-61.12612,94.0,57.0,SW,26.643009185791016,45.81963234886375
0,2014,01,23,11,24,3,2,-3.6516016,-61.21618,92.0,52.0,SW,27.670345306396484,46.08253321845808
3,2014,01,23,11,36,1,0,-3.5619807,-61.036053,97.0,62.0,SW,30.298519134521484,46.71304239687614
3,2014,01,23,12,00,2,0,-3.6157365,-61.16213,94.0,55.0,SW,31.354291915893555,46.951051915191606
7,2014,01,23,12,00,2,1,-3.4902256,-60.92798,101.0,68.0,SW,30.962646484375,46.86370914459617
9,2014,01,23,14,24,7,0,-3.50859,-59.722,100.0,135.0,SE,52.24601364135742,50.499150508313605
3,2014,01,23,14,24,7,1,-3.7599523,-60.622166,86.0,85.0,SW,35.846031188964844,47.8813572098568
0,2014,01,23,14,24,7,2,-3.8318894,-60.496174,82.0,92.0,SW,31.058401107788086,46.88516546716866
10,2014,01,23,14,24,7,3,-3.4187922,-59.920006,105.0,124.0,SE,41.31003189086914,48.86718844059273
6,2014,01,23,14,24,7,4,-3.5800862,-60.892063,96.0,70.0,SW,50.193885803222656,50.220713048922825
5,2014,01,23,14,24,7,5,-3.5983117,-59.451954,95.0,150.0,SE,30.249818801879883,46.701864397405366
4,2014,01,23,14,24,7,6,-3.7421083,-60.388096,87.0,98.0,SW,25.299148559570312,45.45999444115877
1,2014,01,23,14,36,6,0,-3.9036913,-60.60426,78.0,86.0,SW,48.37503433227539,49.96424053664751
6,2014,01,23,14,36,6,1,-3.4726295,-59.632015,102.0,140.0,SE,24.298738479614258,45.179639586516316
5,2014,01,23,14,36,6,2,-3.5265653,-59.757996,99.0,133.0,SE,27.691560745239258,46.08785890126271
4,2014,01,23,14,36,6,3,-3.5624537,-60.37002,97.0,99.0,SW,36.25028610229492,47.95928297348365
3,2014,01,23,14,36,6,4,-3.6340454,-60.820107,93.0,74.0,SW,35.977725982666016,47.90683931262545
2,2014,01,23,14,36,6,5,-3.7959752,-60.46014,84.0,94.0,SW,24.150554656982422,45.13713370840098
23,2014,01,23,14,48,12,0,-2.3047109,-60.621307,167.0,85.0,NW,61.37562561035156,51.61823486828929
8,2014,01,23,14,48,12,1,-3.5984473,-59.84799,95.0,128.0,SE,51.2747917175293,50.36876243509841
3,2014,01,23,14,48,12,2,-3.9396117,-60.62229,76.0,85.0,SW,28.36223793029785,46.25414789248532
13,2014,01,23,14,48,12,3,-3.5624933,-60.244015,97.0,106.0,SW,66.78958129882812,52.205639491020676
9,2014,01,23,14,48,12,4,-3.5802448,-60.69405,96.0,81.0,SW,42.626373291015625,49.08515409843504
2,2014,01,23,14,48,12,5,-4.137422,-60.20815,65.0,108.0,SW,27.220251083374023,45.96857398669375
19,2014,01,23,14,48,12,6,-2.3585079,-60.783165,164.0,76.0,NW,27.40877342224121,46.01653356846974
17,2014,01,23,14,48,12,7,-2.8797982,-59.866077,135.0,127.0,NE,31.243709564208984,46.92650142912909
16,2014,01,23,14,48,12,8,-3.382792,-60.36995,107.0,99.0,SW,23.270652770996094,44.87923701203991
10,2014,01,23,14,48,12,9,-3.580398,-60.42403,96.0,96.0,SW,22.05373764038086,44.50601521643697
6,2014,01,23,14,48,12,10,-3.9035606,-60.784332,78.0,76.0,SW,26.61073112487793,45.811208866643895
0,2014,01,23,14,48,12,11,-4.694315,-59.59546,34.0,142.0,SE,23.66094207763672,44.99481247483463
14,2014,01,23,15,00,6,0,-3.6164079,-59.81198,94.0,130.0,SE,62.58847427368164,51.75420979402561
1,2014,01,23,15,00,6,1,-3.9215264,-60.784348,77.0,76.0,SW,49.801937103271484,50.166239724136766
15,2014,01,23,15,00,6,2,-3.5804446,-60.298023,96.0,103.0,SW,41.538116455078125,48.905448749798296
7,2014,01,23,15,00,6,3,-3.67027,-59.667946,91.0,138.0,SE,25.727617263793945,45.57669301817961
5,2014,01,23,15,00,6,4,-3.759877,-60.730194,86.0,79.0,SW,41.44707107543945,48.890201490176615
11,2014,01,23,15,00,6,5,-3.616314,-60.460052,94.0,94.0,SW,26.2413272857666,45.71407272247468
13,2014,01,23,15,12,12,0,-3.6163714,-60.316036,94.0,102.0,SW,41.897525787353516,48.96531398763215
19,2014,01,23,15,12,12,1,-3.5435762,-58.587955,98.0,198.0,SE,24.676769256591797,45.28691275951543
10,2014,01,23,15,12,12,2,-3.6343877,-59.91999,93.0,124.0,SE,26.134750366210938,45.68579365522436
1,2014,01,23,15,12,12,3,-4.2093105,-59.937958,61.0,123.0,SE,41.49437713623047,48.89812795447946
25,2014,01,23,15,12,12,4,-2.358544,-60.72922,164.0,79.0,NW,27.332101821899414,45.99706843594614
24,2014,01,23,15,12,12,5,-2.897493,-59.218464,134.0,163.0,NE,32.6624870300293,47.23508796113749
23,2014,01,23,15,12,12,6,-3.453571,-58.462093,103.0,205.0,SE,22.658260345458984,44.69392495779062
15,2014,01,23,15,12,12,7,-3.5980015,-60.946087,95.0,67.0,SW,24.115934371948242,45.12716544983767
6,2014,01,23,15,12,12,8,-3.6522377,-60.478073,92.0,93.0,SW,23.828113555908203,45.04373453451778
5,2014,01,23,15,12,12,9,-3.903617,-60.712303,78.0,80.0,SW,23.050630569458008,44.81322492272531
