,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
3,2015,08,20,08,51,2,0,-3.1310477,-60.765705,121.0,77.0,NW,125.52427673339844,56.589943599257424
1,2015,08,20,08,51,2,1,-3.202997,-60.6398,117.0,84.0,SW,57.09447479248047,51.11580527295444
7,2015,08,20,16,15,2,0,-3.7780786,-60.280083,85.0,104.0,SW,128.4509735107422,56.75009835772538
12,2015,08,20,16,15,2,1,-3.4365973,-59.416046,104.0,152.0,SE,36.40834426879883,47.98951482231864
21,2015,08,20,16,27,5,0,-3.7421348,-60.31608,87.0,102.0,SW,97.08447265625,54.804696371902594
25,2015,08,20,16,27,5,1,-2.5379412,-58.93097,154.0,179.0,NE,32.19611358642578,47.135155170935256
29,2015,08,20,16,27,5,2,-1.9994456,-59.830215,184.0,129.0,NE,42.48863983154297,49.06266521185586
27,2015,08,20,16,27,5,3,-2.0173962,-59.740334,183.0,134.0,NE,23.713117599487305,45.01011843800276
23,2015,08,20,16,27,5,4,-3.5086205,-59.884003,100.0,126.0,SE,25.14063262939453,45.41631918719876
15,2015,08,20,16,39,6,0,-3.7241626,-60.334076,88.0,101.0,SW,105.2811508178711,55.36790993305509
35,2015,08,20,16,39,6,1,-1.9455466,-59.830223,187.0,129.0,NE,40.86308670043945,48.791598662373914
26,2015,08,20,16,39,6,2,-3.4006755,-59.434063,106.0,151.0,SE,77.56615447998047,53.24505612996504
30,2015,08,20,16,39,6,3,-2.9335856,-59.488285,132.0,148.0,NE,30.24564552307129,46.70090568383244
22,2015,08,20,16,39,6,4,-3.5086222,-59.902,100.0,125.0,SE,38.62558364868164,48.40030083429197
17,2015,08,20,16,39,6,5,-3.7240534,-59.41587,88.0,152.0,SE,28.61439323425293,46.31565261527847
15,2015,08,20,16,51,9,0,-3.7241561,-60.35208,88.0,100.0,SW,179.40045166015625,59.07147647012877
55,2015,08,20,16,51,9,1,-1.9455441,-59.81225,187.0,130.0,NE,84.13488006591797,53.809917236317155
38,2015,08,20,16,51,9,2,-3.0951164,-60.76568,123.0,77.0,NW,67.80525970458984,52.31051409617221
33,2015,08,20,16,51,9,3,-3.2210152,-60.54984,116.0,89.0,SW,43.28678512573242,49.19198527365567
28,2015,08,20,16,51,9,4,-3.4906542,-59.884003,101.0,126.0,SE,57.19335174560547,51.12782873397052
11,2015,08,20,16,51,9,5,-3.724093,-60.496113,88.0,92.0,SW,42.55479049682617,49.07347526487084
41,2015,08,20,16,51,9,6,-2.915628,-59.506283,133.0,147.0,NE,27.301265716552734,45.9892244666382
30,2015,08,20,16,51,9,7,-3.3827095,-59.434074,107.0,151.0,SE,34.362850189208984,47.58772681642087
0,2015,08,20,16,51,9,8,-3.832009,-60.13605,82.0,112.0,SW,25.62882423400879,45.5499588789074
37,2015,08,20,17,03,9,0,-3.6702576,-60.35206,91.0,100.0,SW,136.55535888671875,57.175239924174434
83,2015,08,20,17,03,9,1,-2.0353842,-59.88414,182.0,126.0,NE,95.13497924804688,54.663743601147836
71,2015,08,20,17,03,9,2,-3.0771637,-60.747673,124.0,78.0,NW,104.19335174560547,55.29574009847269
63,2015,08,20,17,03,9,3,-3.1850529,-60.6038,118.0,86.0,SW,66.94959259033203,52.22226697320536
50,2015,08,20,17,03,9,4,-3.4366446,-59.50604,104.0,147.0,SE,83.21686553955078,53.733681613536135
46,2015,08,20,17,03,9,5,-3.4726896,-59.902004,102.0,125.0,SE,93.50574493408203,54.54371266818705
72,2015,08,20,17,03,9,6,-3.0591,-60.873604,125.0,71.0,NW,43.54115295410156,49.232698753749105
80,2015,08,20,17,03,9,7,-2.8797114,-59.54228,135.0,145.0,NE,29.39039421081543,46.501586536895815
1,2015,08,20,17,03,9,8,-3.777972,-60.532154,85.0,90.0,SW,36.84396743774414,48.07216219356497
116,2015,08,20,17,15,14,0,-3.0231836,-60.855583,127.0,72.0,NW,121.40641784667969,56.35816628044487
63,2015,08,20,17,15,14,1,-3.634325,-60.352047,93.0,100.0,SW,332.0862731933594,63.35031474672175
16,2015,08,20,17,15,14,2,-3.777962,-60.55016,85.0,89.0,SW,96.9454574584961,54.7947393853977
180,2015,08,20,17,15,14,3,-1.8916453,-59.812256,190.0,130.0,NE,70.67105865478516,52.5981655103852
155,2015,08,20,17,15,14,4,-2.035387,-59.920094,182.0,124.0,NE,82.71263885498047,53.69144998432142
96,2015,08,20,17,15,14,5,-3.1850421,-60.621796,118.0,85.0,SW,100.75052642822266,55.06225714122732
82,2015,08,20,17,15,14,6,-3.436653,-59.524036,104.0,146.0,SE,73.24388122558594,52.84664155177039
2,2015,08,20,17,15,14,7,-3.8678563,-60.424164,80.0,96.0,SW,65.08373260498047,52.02585919057111
72,2015,08,20,17,15,14,8,-3.5981433,-60.784073,95.0,76.0,SW,66.62738800048828,52.18874456329652
12,2015,08,20,17,15,14,9,-3.796067,-60.19006,84.0,109.0,SW,63.98660659790039,51.907725218045854
146,2015,08,20,17,15,14,10,-2.1071043,-60.58526,178.0,87.0,NW,38.325538635253906,48.3461122324178
77,2015,08,20,17,15,14,11,-3.472691,-59.920002,102.0,124.0,SE,61.84396743774414,51.67105744190267
141,2015,08,20,17,15,14,12,-2.8617454,-59.542282,136.0,145.0,NE,34.58210372924805,47.63192250270638
7,2015,08,20,17,15,14,13,-3.831966,-60.316113,82.0,102.0,SW,75.05838012695312,53.016686955812204
72,2015,08,20,17,27,21,0,-3.598386,-60.370033,95.0,99.0,SW,135.91880798339844,57.14277287003866
134,2015,08,20,17,27,21,1,-3.0231981,-60.837593,127.0,73.0,NW,144.1371612548828,57.5507153884338
