,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2,2015,02,05,00,00,1,0,-2.860994,-61.34115,136.0,45.0,NW,49.30929183959961,50.09716020322599
2,2015,02,05,01,24,1,0,-2.5204723,-60.117886,155.0,113.0,NW,31.567216873168945,46.998080660057624
4,2015,02,05,02,12,2,0,-2.700071,-60.387695,145.0,98.0,NW,40.64399337768555,48.754241907530144
2,2015,02,05,02,12,2,1,-2.7899017,-60.387726,140.0,98.0,NW,31.6514892578125,47.0166063429997
9,2015,02,05,02,24,3,0,-2.7180164,-60.441658,144.0,95.0,NW,82.31327819824219,53.65781832768302
13,2015,02,05,02,24,3,1,-2.6819634,-60.67546,146.0,82.0,NW,25.27434730529785,45.453179140896644
0,2015,02,05,02,24,3,2,-2.8617454,-60.44172,136.0,95.0,NW,31.11574363708496,46.89798291144378
5,2015,02,05,02,36,2,0,-2.771891,-60.495644,141.0,92.0,NW,38.261653900146484,48.334519779548785
10,2015,02,05,02,36,2,1,-2.5383878,-60.351673,154.0,100.0,NW,24.986541748046875,45.37359838764716
5,2015,02,05,02,48,1,0,-2.8078058,-60.531635,139.0,90.0,NW,33.36874008178711,47.383736902501646
19,2015,02,05,03,00,2,0,-2.8796105,-60.639603,135.0,84.0,NW,65.19982147216797,52.03824246166135
0,2015,02,05,03,00,2,1,-3.0773144,-60.495785,124.0,92.0,NW,40.237998962402344,48.68448195823475
20,2015,02,05,03,12,1,0,-2.8795764,-60.69357,135.0,81.0,NW,61.456886291503906,51.62742880433042
5,2015,02,05,03,24,5,0,-3.059223,-60.711678,125.0,80.0,NW,53.730281829833984,50.6938058537034
28,2015,02,05,03,24,5,1,-2.8975058,-60.747547,134.0,78.0,NW,44.177215576171875,49.33347338810119
34,2015,02,05,03,24,5,2,-2.124803,-60.980774,177.0,65.0,NW,21.81375503540039,44.42998686507033
27,2015,02,05,03,24,5,3,-2.8973796,-60.90945,134.0,69.0,NW,27.490007400512695,46.037097664779985
0,2015,02,05,03,24,5,4,-3.4367595,-60.045998,104.0,117.0,SW,26.354276657104492,45.74391756755651
15,2015,02,05,03,36,3,0,-3.0592105,-60.72967,125.0,79.0,NW,37.972923278808594,48.28188446583546
29,2015,02,05,03,36,3,1,-2.8974526,-60.819508,134.0,74.0,NW,29.63715362548828,46.55968381810541
30,2015,02,05,03,36,3,2,-2.088857,-60.998726,179.0,64.0,NW,24.887187957763672,45.34591320094268
3,2015,02,05,03,48,1,0,-3.1670423,-60.675766,119.0,82.0,SW,40.24622344970703,48.685902102201666
6,2015,02,05,04,00,1,0,-3.1669793,-60.76573,119.0,77.0,SW,31.91819953918457,47.074914123483644
0,2015,02,05,04,12,1,0,-3.2747462,-60.801807,113.0,75.0,SW,34.44232940673828,47.60378021293747
6,2015,02,05,04,24,4,0,-3.3106027,-60.891815,111.0,70.0,SW,34.45006561279297,47.60534081090529
15,2015,02,05,04,24,4,1,-3.238641,-60.99972,115.0,64.0,SW,28.5518856048584,46.300456675354134
17,2015,02,05,04,24,4,2,-3.1666696,-61.107616,119.0,58.0,SW,23.009370803833008,44.8007758439278
0,2015,02,05,04,24,4,3,-3.5264916,-60.44201,99.0,95.0,SW,32.0131950378418,47.095564285243285
6,2015,02,05,04,36,1,0,-3.3465798,-60.837856,109.0,73.0,SW,33.739505767822266,47.460519421431826
3,2015,02,05,04,48,1,0,-3.4004617,-60.8559,106.0,72.0,SW,38.90584182739258,48.45053702583746
5,2015,02,05,05,00,2,0,-3.4183636,-60.92791,105.0,68.0,SW,37.67599868774414,48.227336326222066
8,2015,02,05,05,00,2,1,-2.6634052,-61.32293,147.0,46.0,NW,26.125905990600586,45.683441713199656
7,2015,02,05,05,12,2,0,-3.4722433,-60.94596,102.0,67.0,SW,41.903541564941406,48.966311633737746
11,2015,02,05,05,12,2,1,-2.6992903,-61.358944,145.0,44.0,NW,28.89786720275879,46.38415261236907
4,2015,02,05,05,24,1,0,-3.5260687,-61.018017,99.0,63.0,SW,39.665687561035156,48.58493974390817
