,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
4,2014,07,10,03,48,3,0,-2.1424086,-61.340347,176.0,45.0,NW,36.340858459472656,47.97662287160356
0,2014,07,10,03,48,3,1,-3.237629,-58.22849,115.0,218.0,SE,27.396398544311523,46.01339556314794
2,2014,07,10,03,48,3,2,-2.2323527,-61.232563,171.0,51.0,NW,31.775428771972656,47.04376266956656
2,2014,07,10,04,12,2,0,-3.9387147,-61.450672,76.0,39.0,SW,32.20918655395508,47.13797606560108
0,2014,07,10,04,12,2,1,-4.7481484,-59.46925,31.0,149.0,SE,21.826988220214844,44.43420098161581
3,2014,07,10,04,24,3,0,-3.9206674,-61.504665,77.0,36.0,SW,38.83506393432617,48.43788434819088
13,2014,07,10,04,24,3,1,-3.130081,-58.372616,121.0,210.0,NE,72.21155548095703,52.74800715765625
16,2014,07,10,04,24,3,2,-2.6630456,-61.592712,147.0,31.0,NW,26.49692153930664,45.781426672516886
1,2014,07,10,04,36,1,0,-3.9386032,-61.522705,76.0,35.0,SW,41.443477630615234,48.889599013476044
7,2014,07,10,05,00,2,0,-3.902675,-61.522644,78.0,35.0,SW,69.2905044555664,52.46107952685503
0,2014,07,10,05,00,2,1,-4.5685596,-59.613544,41.0,141.0,SE,24.86616325378418,45.340040446167784
1,2014,07,10,05,12,1,0,-3.920552,-61.5767,77.0,32.0,SW,32.28688049316406,47.154717335916416
0,2014,07,10,05,24,2,0,-3.9384563,-61.612747,76.0,30.0,SW,31.173402786254883,46.91084733301619
4,2014,07,10,05,24,2,1,-3.0050738,-61.01749,128.0,63.0,NW,23.279525756835938,44.88188601676164
2,2014,07,10,06,12,3,0,-3.6343877,-59.91999,93.0,124.0,SE,36.47816848754883,48.0028283558265
0,2014,07,10,06,12,3,1,-4.4421515,-58.83879,48.0,184.0,SE,26.588579177856445,45.8054220434051
4,2014,07,10,06,12,3,2,-2.5554829,-61.43071,153.0,40.0,NW,24.169397354125977,45.142553104384845
3,2014,07,10,06,48,2,0,-3.5804899,-60.046005,96.0,117.0,SW,52.857181549072266,50.57996398800458
0,2014,07,10,06,48,2,1,-3.939789,-59.757893,76.0,133.0,SE,41.82867431640625,48.95388556666702
9,2014,07,10,07,00,3,0,-3.562521,-60.082005,97.0,115.0,SW,81.48003387451172,53.58711917074805
2,2014,07,10,07,00,3,1,-3.9577634,-59.793907,75.0,131.0,SE,26.56179428100586,45.79841849742593
