,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2,2015,04,23,00,12,1,0,-2.9691937,-60.96348,130.0,66.0,NW,57.74203109741211,51.19417285717191
1,2015,04,23,00,36,1,0,-3.0050385,-61.05347,128.0,61.0,NW,39.4623908996582,48.54923426420173
6,2015,04,23,01,12,2,0,-4.4960694,-58.856735,45.0,183.0,SE,50.13928985595703,50.21315081373872
13,2015,04,23,01,12,2,1,-3.2565887,-61.017735,114.0,63.0,SW,38.41420364379883,48.36216930634177
4,2015,04,23,01,24,2,0,-3.2745175,-61.053745,113.0,61.0,SW,88.89940643310547,54.19268173689889
1,2015,04,23,01,24,2,1,-4.550009,-58.8927,42.0,181.0,SE,33.95231628417969,47.50421048348709
9,2015,04,23,01,36,2,0,-3.2564952,-61.10771,114.0,58.0,SW,64.26346588134766,51.93772626672051
2,2015,04,23,01,36,2,1,-4.5680375,-58.94674,41.0,178.0,SE,42.30401611328125,49.03240553886473
6,2015,04,23,01,48,2,0,-3.3283162,-61.143784,110.0,56.0,SW,91.19710540771484,54.36999682157748
0,2015,04,23,01,48,2,1,-4.604009,-58.98274,39.0,176.0,SE,23.146028518676758,44.84192369888162
3,2015,04,23,02,00,2,0,-3.3282542,-61.197777,110.0,53.0,SW,70.90406036376953,52.62103765312888
0,2015,04,23,02,00,2,1,-3.507967,-61.143997,100.0,56.0,SW,50.49060821533203,50.2616695932052
6,2015,04,23,02,12,3,0,-3.400114,-61.19786,106.0,53.0,SW,58.41021728515625,51.274121105629206
2,2015,04,23,02,12,3,1,-3.525847,-61.21602,99.0,52.0,SW,55.465877532958984,50.91471417119298
0,2015,04,23,02,12,3,2,-4.568192,-59.090916,41.0,170.0,SE,23.79403305053711,45.03378892458316
6,2015,04,23,02,24,2,0,-3.507882,-61.215996,100.0,52.0,SW,126.7179946899414,56.655712622194805
16,2015,04,23,02,24,2,1,-2.3581069,-61.23269,164.0,51.0,NW,24.68085289001465,45.2880625714479
11,2015,04,23,02,36,4,0,-3.507815,-61.269993,100.0,49.0,SW,126.26786804199219,56.6309855202403
21,2015,04,23,02,36,4,1,-2.5555735,-61.358776,153.0,44.0,NW,58.22414016723633,51.25194929667706
20,2015,04,23,02,36,4,2,-2.8430738,-61.305153,137.0,47.0,NW,24.015552520751953,45.0981812816234
0,2015,04,23,02,36,4,3,-3.633915,-60.964123,93.0,66.0,SW,26.208620071411133,45.70540643988264
12,2015,04,23,02,48,2,0,-3.5256855,-61.34202,99.0,45.0,SW,155.1483917236328,58.062256405026005
24,2015,04,23,02,48,2,1,-2.5555513,-61.37676,153.0,43.0,NW,34.2777099609375,47.570488751832414
6,2015,04,23,03,00,5,0,-3.5615656,-61.37807,97.0,43.0,SW,154.2235107421875,58.020709319453864
38,2015,04,23,03,00,5,1,-2.5374951,-61.448673,154.0,39.0,NW,56.617454528808594,51.0575053961323
21,2015,04,23,03,00,5,2,-2.7890904,-61.377037,140.0,43.0,NW,59.23247146606445,51.3712576189067
24,2015,04,23,03,00,5,3,-2.7529688,-61.52089,142.0,35.0,NW,50.88818359375,50.316171147255545
0,2015,04,23,03,00,5,4,-4.6762023,-59.343132,35.0,156.0,SE,23.677867889404297,44.999781446024734
11,2015,04,23,03,12,7,0,-3.5974696,-61.396126,95.0,42.0,SW,108.10629272460938,55.55191554700224
64,2015,04,23,03,12,7,1,-2.5194833,-61.484615,155.0,37.0,NW,56.394012451171875,51.03002789059857
39,2015,04,23,03,12,7,2,-2.6988108,-61.700676,145.0,25.0,NW,63.39500427246094,51.84318052378542
29,2015,04,23,03,12,7,3,-2.7710075,-61.466953,141.0,38.0,NW,37.433841705322266,48.18253034924459
2,2015,04,23,03,12,7,4,-3.669694,-61.108185,91.0,58.0,SW,38.9466552734375,48.45782262121379
0,2015,04,23,03,12,7,5,-4.568432,-59.37926,41.0,154.0,SE,23.972211837768555,45.085629665714734
32,2015,04,23,03,12,7,6,-2.771215,-61.30507,141.0,47.0,NW,22.247161865234375,44.566693791006074
62,2015,04,23,03,24,7,0,-2.609154,-61.592636,150.0,31.0,NW,56.7161750793457,51.06961090835223
18,2015,04,23,03,24,7,1,-3.5793746,-61.486107,96.0,37.0,SW,110.38166046142578,55.69665072194145
38,2015,04,23,03,24,7,2,-2.734928,-61.574825,143.0,32.0,NW,74.15773010253906,52.93280280463325
12,2015,04,23,03,24,7,3,-3.6337638,-61.108143,93.0,58.0,SW,38.44837188720703,48.36834722289207
1,2015,04,23,03,24,7,4,-4.6582966,-59.433266,36.0,151.0,SE,30.29549789428711,46.71234946617296
54,2015,04,23,03,24,7,5,-2.6452813,-61.448807,148.0,39.0,NW,31.591896057128906,47.00351102585469
4,2015,04,23,03,24,7,6,-4.532488,-59.361267,43.0,155.0,SE,24.54810905456543,45.25058866003468
71,2015,04,23,03,36,7,0,-2.6449199,-61.7006,148.0,25.0,NW,63.89530563354492,51.89780318643223
46,2015,04,23,03,36,7,1,-2.7529178,-61.55686,142.0,33.0,NW,79.12906646728516,53.38367663067384
16,2015,04,23,03,36,7,2,-3.6152205,-61.54017,94.0,34.0,SW,114.12557983398438,55.92842790949241
7,2015,04,23,03,36,7,3,-3.6696103,-61.1802,91.0,54.0,SW,52.38063049316406,50.5170315025572
47,2015,04,23,03,36,7,4,-2.753115,-61.412968,142.0,41.0,NW,45.045440673828125,49.468713395411534
95,2015,04,23,03,36,7,5,-2.2683017,-61.21462,169.0,52.0,NW,27.210535049438477,45.96609326119626
1,2015,04,23,03,36,7,6,-4.6403418,-59.4513,37.0,150.0,SE,29.82057762145996,46.60255677963182
41,2015,04,23,03,48,6,0,-2.7887397,-61.628864,140.0,29.0,NW,66.96501922607422,52.223867922399094
22,2015,04,23,03,48,6,1,-3.6510632,-61.594234,92.0,31.0,SW,82.52595520019531,53.67574891330352
14,2015,04,23,03,48,6,2,-3.705428,-61.27026,89.0,49.0,SW,60.97433853149414,51.57265351904459
69,2015,04,23,03,48,6,3,-2.519229,-61.66445,155.0,27.0,NW,36.597347259521484,48.02549366729821
3,2015,04,23,03,48,6,4,-4.6403723,-59.50537,37.0,147.0,SE,42.978355407714844,49.14229664363489
44,2015,04,23,03,48,6,5,-2.7889962,-61.44899,140.0,39.0,NW,35.68888473510742,47.850827582565714
27,2015,04,23,04,00,7,0,-2.8246124,-61.66489,138.0,27.0,NW,62.75146484375,51.77228184878008
59,2015,04,23,04,00,7,1,-2.5371382,-61.700443,154.0,25.0,NW,33.79690933227539,47.4723317427107
7,2015,04,23,04,00,7,2,-3.7408235,-61.630398,87.0,29.0,SW,92.3750991821289,54.45917863984534
5,2015,04,23,04,00,7,3,-3.7592747,-61.306343,86.0,47.0,SW,74.9510269165039,53.00674135769735
28,2015,04,23,04,00,7,4,-2.824774,-61.55696,138.0,33.0,NW,34.222591400146484,47.55930622959876
19,2015,04,23,04,00,7,5,-3.5612721,-61.57608,97.0,32.0,SW,23.12462615966797,44.83549548496004
0,2015,04,23,04,00,7,6,-4.766163,-59.559372,30.0,144.0,SE,24.1326961517334,45.13199347413193
35,2015,04,23,04,12,6,0,-2.8244696,-61.754833,138.0,22.0,NW,60.046207427978516,51.46606927149249
11,2015,04,23,04,12,6,1,-3.7586958,-61.684444,86.0,26.0,SW,66.71497344970703,52.19787303706224
3,2015,04,23,04,12,6,2,-4.7841377,-59.57739,29.0,143.0,SE,36.22343063354492,47.95413321914128
27,2015,04,23,04,12,6,3,-3.1659522,-61.647427,119.0,28.0,SW,36.89015579223633,48.080867785702424
10,2015,04,23,04,12,6,4,-3.7771904,-61.34238,85.0,45.0,SW,57.26104736328125,51.13604855583503
47,2015,04,23,04,12,6,5,-2.770856,-61.574875,141.0,32.0,NW,38.13016128540039,48.31059823318692
11,2015,04,23,04,24,7,0,-4.7302885,-59.703594,32.0,136.0,SE,55.710514068603516,50.94529461150345
23,2015,04,23,04,24,7,1,-3.1658652,-61.70141,119.0,25.0,SW,49.20769500732422,50.082828312431566
31,2015,04,23,04,24,7,2,-2.82444,-61.77282,138.0,21.0,NW,48.08944320678711,49.92309593613147
37,2015,04,23,04,24,7,3,-2.6448636,-61.73657,148.0,23.0,NW,38.52172088623047,48.38159083958482
15,2015,04,23,04,24,7,4,-3.759124,-61.41437,86.0,41.0,SW,39.74021911621094,48.59798407433669
35,2015,04,23,04,24,7,5,-2.734821,-61.64677,143.0,28.0,NW,24.35330581665039,45.19522671582812
17,2015,04,23,04,24,7,6,-3.6149864,-61.68418,94.0,26.0,SW,26.116596221923828,45.68096515114498
18,2015,04,23,04,36,5,0,-3.1658652,-61.70141,119.0,25.0,SW,53.09984588623047,50.6117921264535
32,2015,04,23,04,36,5,1,-2.7886004,-61.7188,140.0,24.0,NW,41.593021392822266,48.914627467886724
2,2015,04,23,04,36,5,2,-3.7770357,-61.45041,85.0,39.0,SW,38.73070526123047,48.419186441139885
1,2015,04,23,04,36,5,3,-4.7303042,-59.75767,32.0,133.0,SE,24.73448371887207,45.303145553389
6,2015,04,23,04,36,5,4,-3.5789661,-61.73812,96.0,23.0,SW,22.021413803100586,44.49582312136532
15,2015,04,23,04,48,6,0,-3.183708,-61.773415,118.0,21.0,SW,33.99675369262695,47.51329913722691
8,2015,04,23,04,48,6,1,-3.7589617,-61.5224,86.0,35.0,SW,54.7018928527832,50.81833762881078
29,2015,04,23,04,48,6,2,-2.7885132,-61.772762,140.0,21.0,NW,77.17134094238281,53.20959670368798
26,2015,04,23,04,48,6,3,-2.9861703,-61.7371,129.0,23.0,NW,39.537899017333984,48.56251736232336
1,2015,04,23,04,48,6,4,-4.712338,-59.757675,33.0,133.0,SE,23.416521072387695,44.92265793426729
0,2015,04,23,04,48,6,5,-4.8920007,-59.75762,23.0,133.0,SE,25.2479190826416,45.445909391135295
10,2015,04,23,05,00,5,0,-3.7948618,-61.540466,84.0,34.0,SW,61.59140396118164,51.642621618094815
19,2015,04,23,05,00,5,1,-3.0220973,-61.73716,127.0,23.0,NW,37.1805534362793,48.135353556656746
1,2015,04,23,05,00,5,2,-4.838111,-59.793694,26.0,131.0,SE,27.534448623657227,46.0483221034079
22,2015,04,23,05,00,5,3,-1.9449867,-61.160397,187.0,55.0,NW,27.47190284729004,46.032519828057296
15,2015,04,23,05,00,5,4,-3.1837387,-61.75542,118.0,22.0,SW,22.551435470581055,44.661087017738424
3,2015,04,23,06,00,3,0,-3.6689382,-61.648273,91.0,28.0,SW,50.594905853271484,50.276008630444615
1,2015,04,23,06,00,3,1,-3.8488107,-61.504543,81.0,36.0,SW,24.288698196411133,45.176767772762155
5,2015,04,23,06,00,3,2,-3.417588,-61.55785,105.0,33.0,SW,46.0195198059082,49.617373279492504
1,2015,04,23,06,12,2,0,-3.3995678,-61.593815,106.0,31.0,SW,24.70468521118164,45.29476914784264
3,2015,04,23,06,12,2,1,-2.0172462,-59.344856,183.0,156.0,NE,33.31005859375,47.37150630277636
6,2015,04,23,06,24,4,0,-2.1610022,-59.39872,175.0,153.0,NE,28.45906639099121,46.2778303375839
3,2015,04,23,06,24,4,1,-4.6762276,-59.379177,35.0,154.0,SE,26.584508895874023,45.804358226457246
1,2015,04,23,06,24,4,2,-4.7302127,-59.52334,32.0,146.0,SE,41.04319763183594,48.82215897812199
5,2015,04,23,06,24,4,3,-3.3995106,-61.62981,106.0,29.0,SW,22.233800888061523,44.56251934982542
7,2015,04,23,06,36,4,0,-4.676263,-59.43325,35.0,151.0,SE,71.96006774902344,52.72376497349789
2,2015,04,23,06,36,4,1,-4.730239,-59.577415,32.0,143.0,SE,26.814273834228516,45.86415659972897
13,2015,04,23,06,36,4,2,-1.5502977,-59.938087,209.0,123.0,NE,25.33478546142578,45.469775652234844
12,2015,04,23,06,36,4,3,-2.089156,-59.434708,179.0,151.0,NE,27.666624069213867,46.08159866043226
2,2015,04,23,06,48,4,0,-4.766195,-59.631477,30.0,140.0,SE,49.93320083618164,50.184530456641355
15,2015,04,23,06,48,4,1,-4.676305,-59.50535,35.0,147.0,SE,35.49005889892578,47.81200747821921
20,2015,04,23,06,48,4,2,-2.0891724,-59.47066,179.0,149.0,NE,26.391963958740234,45.7538473079785
17,2015,04,23,06,48,4,3,-4.496653,-59.523476,45.0,146.0,SE,42.50531768798828,49.06539222025166
16,2015,04,23,07,00,2,0,-4.7482133,-59.595432,31.0,142.0,SE,56.14179229736328,50.99888032694355
0,2015,04,23,07,00,2,1,-4.9099245,-60.352592,22.0,100.0,SW,31.794042587280273,47.04783198262942
21,2015,04,23,07,12,3,0,-4.7482357,-59.64951,31.0,139.0,SE,60.75990676879883,51.54817353745946
