,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
13,2014,12,05,00,00,1,0,-2.9333556,-60.855515,132.0,72.0,NW,101.88025665283203,55.139740442254926
16,2014,12,05,00,12,2,0,-2.9333258,-60.89149,132.0,70.0,NW,93.9262924194336,54.57489483086775
31,2014,12,05,00,12,2,1,-2.556365,-60.315712,153.0,102.0,NW,51.05274200439453,50.33860511951178
3,2014,12,05,00,24,2,0,-3.0231688,-60.873577,127.0,71.0,NW,74.54605865478516,52.96909494372363
36,2014,12,05,00,24,2,1,-2.8077676,-60.603584,139.0,86.0,NW,29.982948303222656,46.64028933177627
17,2014,12,05,00,36,2,0,-2.9692101,-60.94549,130.0,67.0,NW,73.06675720214844,52.82981728813035
38,2014,12,05,00,36,2,1,-2.8077776,-60.585598,139.0,87.0,NW,43.96242904663086,49.2996068429429
2,2014,12,05,00,48,2,0,-3.0410218,-60.99953,126.0,64.0,NW,94.79550170898438,54.63890362758193
31,2014,12,05,00,48,2,1,-2.7898016,-60.603577,140.0,86.0,NW,50.43128204345703,50.253500096742705
15,2014,12,05,01,00,2,0,-2.9331594,-61.071392,132.0,60.0,NW,54.364532470703125,50.77535047658807
17,2014,12,05,01,00,2,1,-2.7897913,-60.621563,140.0,85.0,NW,47.428104400634766,49.8268722315519
7,2014,12,05,01,12,2,0,-2.7718148,-60.63954,141.0,84.0,NW,47.26697540283203,49.803224962088436
2,2014,12,05,01,12,2,1,-3.0230038,-61.05349,127.0,61.0,NW,32.53706741333008,47.208354470650455
8,2014,12,05,01,24,1,0,-2.7538595,-60.621544,142.0,85.0,NW,59.82378005981445,51.44028157493604
3,2014,12,05,02,24,2,0,-2.9513066,-60.873516,131.0,71.0,NW,38.73469543457031,48.41990228496148
2,2014,12,05,02,24,2,1,-2.951195,-60.999447,131.0,64.0,NW,36.38532638549805,47.98512035672472
1,2014,12,05,02,36,1,0,-2.9512284,-60.963467,131.0,66.0,NW,47.03592300415039,49.76917468901652
5,2014,12,05,02,48,3,0,-2.9512284,-60.963467,131.0,66.0,NW,33.37576675415039,47.38519998382568
9,2014,12,05,02,48,3,1,-2.8795006,-60.801502,135.0,75.0,NW,30.226730346679688,46.69655870357596
7,2014,12,05,02,48,3,2,-2.9336658,-60.27984,132.0,104.0,NW,23.423248291015625,44.92465390921829
1,2014,12,05,03,00,2,0,-3.005108,-60.981506,128.0,65.0,NW,137.67733764648438,57.232099303429955
5,2014,12,05,03,00,2,1,-2.879487,-60.819492,135.0,74.0,NW,42.97169876098633,49.14122031809643
6,2014,12,05,03,12,3,0,-2.879473,-60.837482,135.0,73.0,NW,29.0712833404541,46.425727219903294
2,2014,12,05,03,12,3,1,-3.0050912,-60.999496,128.0,64.0,NW,35.42687225341797,47.799624937332645
0,2014,12,05,03,12,3,2,-3.3280022,-61.395737,110.0,42.0,SW,22.84722328186035,44.75163477259177
4,2014,12,05,03,24,4,0,-2.9333105,-60.90948,132.0,69.0,NW,31.503292083740234,46.98399499332238
1,2014,12,05,03,24,4,1,-3.3818707,-61.41381,107.0,41.0,SW,35.51172637939453,47.81624852876048
3,2014,12,05,03,24,4,2,-3.040835,-61.179447,126.0,54.0,NW,22.359506607055664,44.60169541298069
0,2014,12,05,03,24,4,3,-3.4714801,-61.557934,102.0,33.0,SW,21.82144546508789,44.432436198579445
2,2014,12,05,03,36,2,0,-2.9512606,-60.927486,131.0,68.0,NW,30.1094913482666,46.669554658457024
1,2014,12,05,03,36,2,1,-4.8201256,-59.72159,27.0,135.0,SE,33.71928024291992,47.456352689290284
5,2014,12,05,04,36,3,0,-2.9691079,-61.053436,130.0,61.0,NW,46.40787887573242,49.67576745992293
2,2014,12,05,04,36,3,1,-3.0231538,-60.891567,127.0,70.0,NW,27.271074295043945,45.98153590112855
0,2014,12,05,04,36,3,2,-4.784231,-59.919895,29.0,124.0,SE,26.70213508605957,45.83503577533993
9,2014,12,05,04,48,5,0,-2.9691079,-61.053436,130.0,61.0,NW,64.33735656738281,51.945711365448055
1,2014,12,05,04,48,5,1,-4.92796,-59.90185,21.0,125.0,SE,33.200592041015625,47.34863320812301
11,2014,12,05,04,48,5,2,-2.9333978,-60.801544,132.0,75.0,NW,22.29640769958496,44.58205830932398
5,2014,12,05,04,48,5,3,-3.3818707,-61.41381,107.0,41.0,SW,29.163223266601562,46.44766832010339
4,2014,12,05,04,48,5,4,-3.5430703,-61.720055,98.0,24.0,SW,25.04767608642578,45.39057897104748
7,2014,12,05,05,00,3,0,-2.987055,-61.071445,129.0,60.0,NW,50.467071533203125,50.25842962924991
2,2014,12,05,05,00,3,1,-3.1306803,-61.161556,121.0,55.0,NW,25.355121612548828,45.47535112345554
1,2014,12,05,05,00,3,2,-3.3458912,-61.449753,109.0,39.0,SW,37.7216796875,48.2357563238567
8,2014,12,05,05,24,4,0,-2.969257,-60.89152,130.0,70.0,NW,46.901100158691406,49.74922843786197
3,2014,12,05,05,24,4,1,-3.3637772,-61.503773,108.0,36.0,SW,30.766237258911133,46.8194901142834
2,2014,12,05,05,24,4,2,-3.4893005,-61.64796,101.0,28.0,SW,28.340303421020508,46.248771886914895
0,2014,12,05,05,24,4,3,-4.4967585,-59.82982,45.0,129.0,SE,24.49173927307129,45.2346139967086
14,2014,12,05,05,36,4,0,-2.9872072,-60.909527,129.0,69.0,NW,40.92938232421875,48.802863006969005
3,2014,12,05,05,36,4,1,-3.3637233,-61.53977,108.0,34.0,SW,41.126129150390625,48.83618531696114
1,2014,12,05,05,36,4,2,-3.5431316,-61.684055,98.0,26.0,SW,24.214933395385742,45.15563241794226
0,2014,12,05,05,36,4,3,-4.4967585,-59.82982,45.0,129.0,SE,25.45854949951172,45.50363845425099
26,2014,12,05,05,48,6,0,-2.9512446,-60.945477,131.0,67.0,NW,88.23799896240234,54.14079036832629
11,2014,12,05,05,48,6,1,-3.3637502,-61.52177,108.0,35.0,SW,50.50499725341797,50.26364958585265
15,2014,12,05,05,48,6,2,-3.0944638,-61.39542,123.0,42.0,NW,48.25066375732422,49.94635262970472
5,2014,12,05,05,48,6,3,-3.5790591,-61.68412,96.0,26.0,SW,30.08478546142578,46.66385065787934
3,2014,12,05,05,48,6,4,-4.0835094,-60.26217,68.0,105.0,SW,37.037235260009766,48.108516919642376
1,2014,12,05,05,48,6,5,-4.5147305,-59.865856,44.0,127.0,SE,30.261198043823242,46.70447784126408
8,2014,12,05,06,00,1,0,-3.005108,-60.981506,128.0,65.0,NW,60.52144241333008,51.52084827754304
8,2014,12,05,06,12,2,0,-3.0230038,-61.05349,127.0,61.0,NW,148.88307189941406,57.77582509261727
1,2014,12,05,06,12,2,1,-3.9218452,-60.100048,77.0,114.0,SW,68.77796173095703,52.40948877494561
