,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
5,2014,08,12,16,12,2,0,-3.795387,-61.162354,84.0,55.0,SW,86.89525604248047,54.03423703237334
4,2014,08,12,16,12,2,1,-3.8135693,-60.964314,83.0,66.0,SW,22.439517974853516,44.62651633373647
12,2014,08,12,16,36,3,0,-2.1251895,-60.261665,177.0,105.0,NW,55.49795913696289,50.91873216174439
4,2014,08,12,16,36,3,1,-2.7716055,-59.056664,141.0,172.0,NE,24.837520599365234,45.33203180154502
2,2014,08,12,16,36,3,2,-3.8132858,-61.216393,83.0,52.0,SW,33.31281661987305,47.37208162254058
2,2014,08,12,16,48,1,0,-3.8132632,-61.234398,83.0,51.0,SW,33.73316192626953,47.45921277304447
16,2014,08,12,17,00,4,0,-2.1251807,-60.297623,177.0,103.0,NW,82.72870635986328,53.69279968876856
6,2014,08,12,17,00,4,1,-3.777287,-61.27036,85.0,49.0,SW,32.662620544433594,47.23511636531895
25,2014,08,12,17,00,4,2,-1.7478645,-59.596596,198.0,142.0,NE,28.861379623413086,46.375373353028124
22,2014,08,12,17,00,4,3,-1.8017442,-60.441338,195.0,95.0,NW,27.56308364868164,46.05554480625592
8,2014,08,12,17,12,3,0,-2.1251597,-60.369534,177.0,99.0,NW,98.10833740234375,54.87759461236997
3,2014,08,12,17,12,3,1,-2.7898307,-59.434387,140.0,151.0,NE,56.36204528808594,51.02608786979808
13,2014,08,12,17,12,3,2,-1.7658417,-59.632538,197.0,140.0,NE,23.80811882019043,45.03790125780975
10,2014,08,12,17,24,4,0,-2.0712142,-60.495358,180.0,92.0,NW,63.4146728515625,51.845336057812894
13,2014,08,12,17,24,4,1,-1.9814672,-59.758316,185.0,133.0,NE,28.542400360107422,46.29814785475081
3,2014,08,12,17,24,4,2,-2.268942,-60.135838,169.0,112.0,NW,36.77513885498047,48.05916909591684
0,2014,08,12,17,24,4,3,-2.8078315,-59.50633,139.0,147.0,NE,25.69249725341797,45.567201057004134
14,2014,08,12,17,36,3,0,-2.0712218,-60.47738,180.0,93.0,NW,88.8828353881836,54.19138636101593
27,2014,08,12,17,36,3,1,-1.9814767,-59.81224,185.0,130.0,NE,71.9566650390625,52.7234363883487
2,2014,08,12,17,36,3,2,-2.268937,-60.1718,169.0,110.0,NW,68.88663482666016,52.42045947022186
28,2014,08,12,17,48,8,0,-2.0532238,-60.54928,181.0,89.0,NW,130.35984802246094,56.85260148431141
8,2014,08,12,17,48,8,1,-2.2509646,-60.207752,170.0,108.0,NW,59.5430793762207,51.40760061588531
31,2014,08,12,17,48,8,2,-2.0533533,-59.920094,181.0,124.0,NE,34.93138885498047,47.70175360972249
39,2014,08,12,17,48,8,3,-1.6760583,-59.884167,202.0,126.0,NE,26.247695922851562,45.7157589349665
11,2014,08,12,17,48,8,4,-2.1428814,-60.836964,176.0,73.0,NW,26.42720603942871,45.76311996770144
37,2014,08,12,17,48,8,5,-1.9635191,-59.884148,186.0,126.0,NE,27.33388900756836,45.99752278197747
22,2014,08,12,17,48,8,6,-2.0713196,-60.063908,180.0,116.0,NW,24.738746643066406,45.30434304266255
0,2014,08,12,17,48,8,7,-2.7539077,-59.452393,142.0,150.0,NE,41.6252326965332,48.92000674619369
32,2014,08,12,18,00,8,0,-2.035212,-60.639156,182.0,84.0,NW,162.83009338378906,58.39805470777473
12,2014,08,12,18,00,8,1,-2.2509444,-60.29765,170.0,103.0,NW,52.466758728027344,50.52844772213614
42,2014,08,12,18,00,8,2,-2.0174208,-60.063904,183.0,116.0,NW,46.909236907958984,49.75043384713415
54,2014,08,12,18,00,8,3,-1.6401272,-59.90214,204.0,125.0,NE,62.9181022644043,51.79070979600053
3,2014,08,12,18,00,8,4,-2.7539165,-59.47038,142.0,149.0,NE,40.4522590637207,48.72138443471001
49,2014,08,12,18,00,8,5,-1.9455466,-59.830223,187.0,129.0,NE,34.807579040527344,47.67708104465952
50,2014,08,12,18,00,8,6,-1.711775,-59.25513,200.0,161.0,NE,22.963993072509766,44.78705847156899
0,2014,08,12,18,00,8,7,-2.789616,-59.11061,140.0,169.0,NE,22.82105827331543,44.74367243571451
20,2014,08,12,18,12,6,0,-1.981324,-60.621155,185.0,85.0,NW,52.031593322753906,50.470573959193956
27,2014,08,12,18,12,6,1,-1.711806,-59.309048,200.0,158.0,NE,38.27658462524414,48.337230824580566
2,2014,08,12,18,12,6,2,-2.232957,-60.369564,171.0,99.0,NW,68.37489318847656,52.368646531214196
32,2014,08,12,18,12,6,3,-1.6221629,-59.938087,205.0,123.0,NE,33.90522384643555,47.49456581244448
24,2014,08,12,18,12,6,4,-1.9455575,-60.009975,187.0,119.0,NW,27.685604095458984,46.0863640236408
13,2014,08,12,18,12,6,5,-2.0353842,-60.09986,182.0,114.0,NW,24.091150283813477,45.12002054572832
36,2014,08,12,18,24,6,0,-1.9812154,-60.80091,185.0,75.0,NW,118.41778564453125,56.18497092823334
33,2014,08,12,18,24,6,1,-1.9994544,-60.063904,184.0,116.0,NW,51.72832107543945,50.42995408340477
1,2014,08,12,18,24,6,2,-2.304781,-60.477467,167.0,93.0,NW,39.25830078125,48.51320392597944
48,2014,08,12,18,24,6,3,-1.6041973,-59.95606,206.0,122.0,NE,23.126914978027344,44.836183217241334
47,2014,08,12,18,24,6,4,-1.6938868,-59.39892,201.0,153.0,NE,26.3980712890625,45.755455114365446
0,2014,08,12,18,24,6,5,-3.0593483,-59.488228,125.0,148.0,NE,23.297266006469727,44.88717929187445
32,2014,08,12,18,36,8,0,-2.0170684,-60.90879,183.0,69.0,NW,152.89373779296875,57.960535124398184
35,2014,08,12,18,36,8,1,-2.0173833,-60.297596,183.0,103.0,NW,61.497352600097656,51.63200268035277
59,2014,08,12,18,36,8,2,-1.945551,-60.11783,187.0,113.0,NW,54.12416458129883,50.74455925231608
7,2014,08,12,18,36,8,3,-2.3227313,-60.513435,166.0,91.0,NW,58.50761795043945,51.2856986258367
5,2014,08,12,18,36,8,4,-2.4483612,-60.747257,159.0,78.0,NW,55.81557083129883,50.95838588739255
64,2014,08,12,18,36,8,5,-1.6759374,-59.434868,202.0,151.0,NE,25.691152572631836,45.56683736936578
65,2014,08,12,18,36,8,6,-1.3526543,-59.79435,220.0,131.0,NE,27.972946166992188,46.15811130943023
0,2014,08,12,18,36,8,7,-3.0593727,-59.542202,125.0,145.0,NE,26.054262161254883,45.66436041674474
23,2014,08,12,18,48,7,0,-2.034976,-60.98071,182.0,65.0,NW,85.3342056274414,53.908270356848845
27,2014,08,12,18,48,7,1,-2.0353398,-60.333553,182.0,101.0,NW,82.19976043701172,53.64822878598417
13,2014,08,12,18,48,7,2,-2.3227143,-60.549397,166.0,89.0,NW,53.63395309448242,50.681336882234966
72,2014,08,12,18,48,7,3,-1.6580017,-59.506763,203.0,147.0,NE,30.39617156982422,46.7354021518522
4,2014,08,12,18,48,7,4,-3.041414,-59.5602,126.0,144.0,NE,42.33768844604492,49.037934240030545
8,2014,08,12,18,48,7,5,-2.4483366,-60.783222,159.0,76.0,NW,85.97064971923828,53.95990329922007
2,2014,08,12,18,48,7,6,-3.7601068,-59.68592,86.0,137.0,SE,44.561744689941406,49.39369493390494
58,2014,08,12,19,00,7,0,-1.9455036,-60.35151,187.0,100.0,NW,108.50657653808594,55.577596938858036
28,2014,08,12,19,00,7,1,-1.9990146,-61.016636,184.0,63.0,NW,89.84449005126953,54.26616312487633
6,2014,08,12,19,00,7,2,-2.4125066,-60.62136,161.0,85.0,NW,58.20669937133789,51.24986752754981
3,2014,08,12,19,00,7,3,-3.0414348,-59.614178,126.0,141.0,NE,32.95152282714844,47.296307795857864
0,2014,08,12,19,00,7,4,-3.760122,-59.739933,86.0,134.0,SE,25.638160705566406,45.55248980402578
73,2014,08,12,19,00,7,5,-1.6580153,-59.542706,203.0,145.0,NE,24.704700469970703,45.2947734396963
4,2014,08,12,19,00,7,6,-2.4483106,-60.819183,159.0,74.0,NW,22.56678009033203,44.66581350533292
19,2014,08,12,19,12,6,0,-2.016882,-61.124504,183.0,57.0,NW,102.41283416748047,55.175970115822565
49,2014,08,12,19,12,6,1,-1.9454923,-60.38746,187.0,98.0,NW,114.3492202758789,55.94203127803101
69,2014,08,12,19,12,6,2,-1.586169,-59.596638,207.0,142.0,NE,30.496423721313477,46.75828256695469
5,2014,08,12,19,12,6,3,-2.34049,-60.855076,165.0,72.0,NW,59.14082336425781,51.36049782099072
7,2014,08,12,19,12,6,4,-2.340601,-60.69325,165.0,81.0,NW,36.28589630126953,47.9661056382092
0,2014,08,12,19,12,6,5,-2.556118,-60.801273,153.0,75.0,NW,27.89545249938965,46.138834526356014
56,2014,08,12,19,24,7,0,-1.8915937,-60.387444,190.0,98.0,NW,119.41403198242188,56.243185755447655
9,2014,08,12,19,24,7,1,-2.412265,-60.963017,161.0,66.0,NW,88.33180236816406,54.14817343021463
73,2014,08,12,19,24,7,2,-1.5682136,-59.632584,208.0,140.0,NE,39.783382415771484,48.60552722753382
3,2014,08,12,19,24,7,3,-2.969598,-59.704155,130.0,136.0,NE,80.19631958007812,53.476770961856815
53,2014,08,12,19,24,7,4,-1.8910562,-61.1963,190.0,53.0,NW,31.263452529907227,46.930890947927004
20,2014,08,12,19,24,7,5,-2.358544,-60.72922,164.0,79.0,NW,56.338314056396484,51.02316149953732
7,2014,08,12,19,24,7,6,-2.8798048,-59.956024,135.0,122.0,NE,38.990516662597656,48.46564379750489
38,2014,08,12,20,12,6,0,-1.7297407,-60.728878,199.0,79.0,NW,75.4784927368164,53.055471460034475
17,2014,08,12,20,12,6,1,-2.3044255,-61.016872,167.0,63.0,NW,58.76338577270508,51.316008926308385
3,2014,08,12,20,12,6,2,-2.8977704,-59.938034,134.0,123.0,NE,47.233665466308594,49.798326346513946
2,2014,08,12,20,12,6,3,-3.4546754,-60.315983,103.0,102.0,SW,71.5542984008789,52.68447160085293
7,2014,08,12,20,12,6,4,-2.5561678,-60.72934,153.0,79.0,NW,32.11198043823242,47.11697340596462
6,2014,08,12,20,12,6,5,-2.5740147,-59.092793,152.0,170.0,NE,28.371566772460938,46.25643307098542
23,2014,08,12,20,24,6,0,-1.6937641,-60.80075,201.0,75.0,NW,49.464317321777344,50.11897226977089
12,2014,08,12,20,24,6,1,-2.304359,-61.08879,167.0,59.0,NW,39.65686798095703,48.58339454105373
6,2014,08,12,20,24,6,2,-2.5202243,-60.7473,155.0,78.0,NW,60.36505889892578,51.50287001607885
1,2014,08,12,20,24,6,3,-2.8977718,-59.992,134.0,120.0,NW,32.63124084472656,47.22843737593241
5,2014,08,12,20,24,6,4,-2.5380836,-59.09282,154.0,170.0,NE,22.69347381591797,44.704715650064735
0,2014,08,12,20,24,6,5,-2.9156716,-59.61422,133.0,141.0,NE,26.25655174255371,45.71810299440511
1,2014,08,12,20,36,4,0,-2.5381901,-60.74731,154.0,78.0,NW,79.65718078613281,53.4298988665003
9,2014,08,12,20,36,4,1,-2.484187,-59.09286,157.0,170.0,NE,25.440237045288086,45.49863841479073
11,2014,08,12,20,36,4,2,-1.7655509,-60.908627,197.0,69.0,NW,27.977088928222656,46.15914032946496
10,2014,08,12,20,36,4,3,-2.4840624,-58.948997,157.0,178.0,NE,23.85378074645996,45.051215526093216
6,2014,08,12,21,00,2,0,-2.2502582,-61.286522,170.0,48.0,NW,43.02699661254883,49.1501564741626
2,2014,08,12,21,00,2,1,-2.4842286,-60.837193,157.0,73.0,NW,28.065048217773438,46.18095263992814
