,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
0,2015,10,31,01,45,5,0,-4.694315,-59.59546,34.0,142.0,SE,54.15178298950195,50.7481041275164
7,2015,10,31,01,45,5,1,-2.4306474,-60.027966,160.0,118.0,NW,23.460256576538086,44.93562407713267
6,2015,10,31,01,45,5,2,-2.7540123,-59.740185,142.0,134.0,NE,37.79753494262695,48.2497155918244
5,2015,10,31,01,45,5,3,-3.0054414,-60.51374,128.0,91.0,NW,274.49542236328125,62.026861657643444
4,2015,10,31,01,45,5,4,-3.7778692,-59.289803,85.0,159.0,SE,36.2625732421875,47.96163786044986
3,2015,10,31,03,22,5,0,-3.9571574,-58.893475,75.0,181.0,SE,29.70180320739746,46.57482501736511
1,2015,10,31,03,22,5,1,-4.136457,-58.623062,65.0,196.0,SE,33.577754974365234,47.4271264466331
7,2015,10,31,03,22,5,2,-2.2330072,-60.153812,171.0,111.0,NW,42.078643798828125,48.99528770053088
6,2015,10,31,03,22,5,3,-2.5204325,-59.6683,155.0,138.0,NE,22.657712936401367,44.69375707933834
5,2015,10,31,03,22,5,4,-3.3099878,-58.552296,111.0,200.0,SE,39.031944274902344,48.4730229177826
1,2015,10,31,04,34,3,0,-4.298165,-58.640816,56.0,195.0,SE,44.891090393066406,49.444862427540514
6,2015,10,31,04,34,3,1,-2.3947062,-60.135853,162.0,112.0,NW,26.938894271850586,45.89637620933523
5,2015,10,31,04,34,3,2,-2.7720053,-59.92005,141.0,124.0,NE,25.893726348876953,45.62141282002278
5,2015,10,31,04,46,6,0,-3.4176154,-58.44415,105.0,206.0,SE,48.94921112060547,50.04623110835644
8,2015,10,31,04,46,6,1,-2.4126816,-59.992,161.0,120.0,NW,36.58988952636719,48.024077528633654
1,2015,10,31,04,46,6,2,-4.190684,-58.875164,62.0,182.0,SE,30.040977478027344,46.65372491190168
7,2015,10,31,04,46,6,3,-3.0231538,-59.092434,127.0,170.0,NE,22.972087860107422,44.7895074548002
3,2015,10,31,04,46,6,4,-3.7774434,-58.839676,85.0,184.0,SE,22.13340187072754,44.53107066814556
2,2015,10,31,04,46,6,5,-3.9575408,-59.30767,75.0,158.0,SE,26.940366744995117,45.89675601377918
1,2015,10,31,05,22,4,0,-3.3815176,-58.33622,107.0,212.0,SE,36.89254379272461,48.081317580222176
4,2015,10,31,05,22,4,1,-3.0053005,-59.236378,128.0,162.0,NE,38.41526412963867,48.36236113405028
3,2015,10,31,05,22,4,2,-3.0054414,-60.51374,128.0,91.0,NW,58.38585662841797,51.27122246053722
0,2015,10,31,05,22,4,3,-3.4536774,-58.53409,103.0,201.0,SE,24.156322479248047,45.138793055338205
1,2015,10,31,05,46,5,0,-4.280277,-58.694893,57.0,192.0,SE,27.42458152770996,46.02054010685261
5,2015,10,31,05,46,5,1,-2.6282299,-59.66827,149.0,138.0,NE,25.806367874145508,45.59793009941211
4,2015,10,31,05,46,5,2,-3.0054414,-60.51374,128.0,91.0,NW,122.27850341796875,56.40790179186573
3,2015,10,31,05,46,5,3,-3.3641841,-58.786182,108.0,187.0,SE,32.11737060546875,47.11813968641665
2,2015,10,31,05,46,5,4,-3.6520686,-59.23589,92.0,162.0,SE,24.753559112548828,45.308502379418236
3,2015,10,31,06,34,3,0,-3.3455312,-58.30029,109.0,214.0,SE,37.85977554321289,48.261148514431525
1,2015,10,31,06,34,3,1,-3.5441866,-60.85603,98.0,72.0,SW,23.88564682006836,45.060492059266
0,2015,10,31,06,34,3,2,-4.0654287,-60.532326,69.0,90.0,SW,24.722829818725586,45.29987082663468
1,2015,10,31,08,45,3,0,-3.6338973,-60.98213,93.0,65.0,SW,68.19721984863281,52.350566683341015
5,2015,10,31,08,45,3,1,-3.5621524,-60.856045,97.0,72.0,SW,38.67829513549805,48.4097771241818
0,2015,10,31,08,45,3,2,-3.7238739,-60.820187,88.0,74.0,SW,23.610822677612305,44.98007786976246
1,2015,10,31,11,21,2,0,-4.532261,-59.090954,43.0,170.0,SE,30.548015594482422,46.77002801478344
7,2015,10,31,11,21,2,1,-1.6757865,-59.165287,202.0,166.0,NE,40.43395233154297,48.718239072744325
11,2015,10,31,11,45,4,0,-1.6756678,-59.00354,202.0,175.0,NE,35.7430419921875,47.86136413829997
4,2015,10,31,11,45,4,1,-3.0403428,-61.557274,126.0,33.0,NW,38.53547286987305,48.384071038152555
2,2015,10,31,11,45,4,2,-3.597053,-61.66615,95.0,27.0,SW,31.783283233642578,47.04548008605725
7,2015,10,31,11,45,4,3,-2.3757927,-61.46646,163.0,38.0,NW,26.400882720947266,45.75619512257377
3,2015,10,31,13,46,1,0,-1.4245328,-59.920124,216.0,124.0,NE,124.7413558959961,56.54646732261858
10,2015,10,31,13,57,1,0,-1.4245342,-59.956062,216.0,122.0,NE,135.80039978027344,57.13671673196493
35,2015,10,31,14,09,3,0,-1.442501,-60.00997,215.0,119.0,NW,227.8883819580078,60.73385491432056
10,2015,10,31,14,09,3,1,-1.5323244,-59.848236,210.0,128.0,NE,90.71197509765625,54.332933925660925
1,2015,10,31,14,09,3,2,-1.640122,-59.84823,204.0,128.0,NE,29.094846725463867,46.43135713470514
13,2015,10,31,14,21,3,0,-1.6041945,-59.902145,206.0,125.0,NE,50.53998565673828,50.26846178593615
31,2015,10,31,14,21,3,1,-1.4424999,-60.04591,215.0,117.0,NW,100.6498794555664,55.05531210203867
4,2015,10,31,14,21,3,2,-1.711985,-59.83025,200.0,129.0,NE,66.67414855957031,52.19361961074448
68,2015,10,31,14,33,6,0,-1.4245328,-60.063877,216.0,116.0,NW,67.07962799072266,52.235750283621705
44,2015,10,31,14,33,6,1,-1.4784154,-60.207638,213.0,108.0,NW,104.20085906982422,55.296240748001594
18,2015,10,31,14,33,6,2,-1.586231,-59.95606,207.0,122.0,NE,66.86031341552734,52.212994485718596
4,2015,10,31,14,33,6,3,-1.7119892,-59.86619,200.0,127.0,NE,82.88154602050781,53.7056254531883
