,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
1,2015,12,01,01,40,4,0,-3.8497326,-59.28975,81.0,159.0,SE,23.4370059967041,44.92873405495486
4,2015,12,01,01,40,4,1,-3.7420194,-59.41586,87.0,152.0,SE,48.868770599365234,50.03480257327304
3,2015,12,01,01,40,4,2,-3.760034,-59.505875,86.0,147.0,SE,28.11504364013672,46.19332014795684
0,2015,12,01,01,40,4,3,-3.8679523,-59.992,80.0,120.0,SW,24.003154754638672,45.09459315901964
5,2015,12,01,02,16,1,0,-3.7960546,-59.739925,84.0,134.0,SE,136.9928436279297,57.19746604672446
7,2015,12,01,02,28,2,0,-3.796067,-59.79394,84.0,131.0,SE,45.950775146484375,49.60698542743269
1,2015,12,01,02,28,2,1,-3.921738,-59.523796,77.0,146.0,SE,102.64456176757812,55.19167507458814
2,2015,12,01,02,40,2,0,-3.9397361,-59.595818,76.0,142.0,SE,85.31340026855469,53.9065759827509
9,2015,12,01,02,40,2,1,-3.796081,-59.88397,84.0,126.0,SE,51.818634033203125,50.44207532570866
1,2015,12,01,02,52,2,0,-3.9577353,-59.685852,75.0,137.0,SE,103.49515533447266,55.24902028789694
10,2015,12,01,02,52,2,1,-3.8140533,-59.973995,83.0,121.0,SE,87.66587829589844,54.09558936814968
5,2015,12,01,03,04,2,0,-3.9218135,-59.72188,77.0,135.0,SE,69.6962661743164,52.50165215408141
0,2015,12,01,03,04,2,1,-4.3348107,-60.694645,54.0,81.0,SW,21.812244415283203,44.42950564452137
2,2015,12,01,03,52,1,0,-4.280613,-61.01888,57.0,63.0,SW,33.729248046875,47.45840650420162
4,2015,12,01,04,40,2,0,-3.9217002,-60.532238,77.0,90.0,SW,108.79386138916016,55.59597021772477
0,2015,12,01,04,40,2,1,-3.9936419,-60.370197,73.0,99.0,SW,25.858396530151367,45.61192541160022
7,2015,12,01,05,04,3,0,-3.9754527,-60.74838,74.0,78.0,SW,76.87994384765625,53.1833088759398
8,2015,12,01,05,04,3,1,-3.885702,-60.64026,79.0,84.0,SW,29.89404296875,46.619654427461974
0,2015,12,01,05,04,3,2,-4.478705,-59.55953,46.0,144.0,SE,26.042205810546875,45.661144225317294
1,2015,12,01,10,40,2,0,-3.041164,-60.83761,126.0,73.0,NW,48.706668853759766,50.01171480978379
6,2015,12,01,10,40,2,1,-2.879429,-60.89145,135.0,70.0,NW,72.43577575683594,52.76954980612836
7,2015,12,01,16,15,1,0,-3.381604,-61.59379,107.0,31.0,SW,80.31611633300781,53.487143158251236
3,2015,12,01,16,28,1,0,-3.4174452,-61.64784,105.0,28.0,SW,145.6722412109375,57.62432878908133
1,2015,12,01,16,40,1,0,-3.4173253,-61.719833,105.0,24.0,SW,72.12564849853516,52.73973565302967
2,2015,12,01,17,03,1,0,-3.5250757,-61.738026,99.0,23.0,SW,57.004730224609375,51.104874272020254
1,2015,12,01,19,27,1,0,-4.4426703,-59.379356,48.0,154.0,SE,92.85798645019531,54.49540815040211
1,2015,12,01,19,40,1,0,-4.4606705,-59.433403,47.0,151.0,SE,60.978939056396484,51.573177780826
7,2015,12,01,20,03,1,0,-4.4786777,-59.505466,46.0,147.0,SE,119.02455139160156,56.220484809055534
4,2015,12,01,20,15,1,0,-4.496662,-59.541496,45.0,145.0,SE,86.43757629394531,53.9975412491625
5,2015,12,01,20,27,2,0,-4.4966874,-59.59556,45.0,142.0,SE,71.08378601074219,52.638628769645585
19,2015,12,01,20,27,2,1,-4.1548157,-58.92925,64.0,179.0,SE,112.45307922363281,55.82584158728031
8,2015,12,01,20,40,2,0,-4.496709,-59.64962,45.0,139.0,SE,148.7263946533203,57.768508758712414
18,2015,12,01,20,40,2,1,-4.154894,-59.0013,64.0,175.0,SE,47.97569274902344,49.90664002838763
8,2015,12,01,20,52,2,0,-4.4967275,-59.70368,45.0,136.0,SE,116.96781158447266,56.099361789084924
13,2015,12,01,20,52,2,1,-1.5859085,-59.093452,207.0,170.0,NE,29.531959533691406,46.53497619114777
9,2015,12,01,21,03,2,0,-4.4967475,-59.77576,45.0,132.0,SE,94.76242065429688,54.63647829276533
11,2015,12,01,21,03,2,1,-1.6038995,-59.129383,206.0,168.0,NE,51.469810485839844,50.39514106322017
1,2015,12,01,21,15,2,0,-4.5506606,-59.84783,42.0,128.0,SE,83.23495483398438,53.735191927959576
6,2015,12,01,21,15,2,1,-3.0054414,-60.51374,128.0,91.0,NW,56.01457595825195,50.983116798608926
