,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,RAIN_FALL
22,2014,01,03,03,12,13,0,-4.2272396,-59.721786,60.0,135.0,54.67371368408203
41,2014,01,03,03,12,13,1,-3.9393804,-59.073578,76.0,171.0,70.19236755371094
26,2014,01,03,03,12,13,2,-4.209283,-59.75782,61.0,133.0,85.80535125732422
8,2014,01,03,03,12,13,3,-4.3705707,-59.091133,52.0,170.0,28.39542579650879
17,2014,01,03,03,12,13,4,-4.28116,-59.811848,57.0,130.0,70.90167236328125
12,2014,01,03,03,12,13,5,-4.3342204,-61.25316,54.0,50.0,24.694421768188477
50,2014,01,03,03,12,13,6,-2.5204759,-60.081917,155.0,115.0,57.144203186035156
4,2014,01,03,03,12,13,7,-4.4967585,-59.82982,45.0,129.0,25.938539505004883
2,2014,01,03,03,12,13,8,-4.5501714,-60.947132,42.0,67.0,26.195711135864258
0,2014,01,03,03,12,13,9,-4.6762514,-60.568775,35.0,88.0,31.374706268310547
49,2014,01,03,03,12,13,10,-2.897723,-60.315807,134.0,102.0,56.016937255859375
48,2014,01,03,03,12,13,11,-3.3467464,-60.603897,109.0,86.0,25.811059951782227
6,2014,01,03,03,12,13,12,-4.49633,-59.090996,45.0,170.0,22.595783233642578
