,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,RAIN_FALL
67,2014,01,03,03,36,25,0,-4.5325,-60.604713,43.0,86.0,51.338375091552734
16,2014,01,03,03,36,25,1,-4.6761475,-60.712967,35.0,80.0,55.809410095214844
45,2014,01,03,03,36,25,2,-4.604364,-60.604767,39.0,86.0,41.14287567138672
42,2014,01,03,03,36,25,3,-4.604326,-60.658836,39.0,83.0,48.962249755859375
30,2014,01,03,03,36,25,4,-4.62225,-60.712917,38.0,80.0,40.68926239013672
84,2014,01,03,03,36,25,5,-4.4786367,-60.550613,46.0,89.0,57.92226791381836
74,2014,01,03,03,36,25,6,-4.514546,-60.586678,44.0,87.0,35.906307220458984
17,2014,01,03,03,36,25,7,-4.676162,-60.694942,35.0,81.0,39.34792709350586
96,2014,01,03,03,36,25,8,-4.4247274,-60.568592,49.0,88.0,41.42775344848633
82,2014,01,03,03,36,25,9,-4.478614,-60.58665,46.0,87.0,57.32963562011719
4,2014,01,03,03,36,25,10,-4.747966,-60.767113,31.0,77.0,36.61781692504883
99,2014,01,03,03,36,25,11,-4.3528743,-60.550526,53.0,89.0,39.148704528808594
106,2014,01,03,03,36,25,12,-3.9937081,-60.118065,73.0,113.0,59.122013092041016
103,2014,01,03,03,36,25,13,-4.28101,-60.55048,57.0,89.0,28.568382263183594
118,2014,01,03,03,36,25,14,-2.9336789,-60.22587,132.0,107.0,40.52986526489258
116,2014,01,03,03,36,25,15,-3.0413353,-59.398277,126.0,153.0,37.39046859741211
114,2014,01,03,03,36,25,16,-3.2211463,-60.18994,116.0,109.0,35.6971435546875
111,2014,01,03,03,36,25,17,-3.436423,-60.819935,104.0,74.0,23.895130157470703
108,2014,01,03,03,36,25,18,-3.939816,-60.046024,76.0,117.0,35.5257453918457
12,2014,01,03,03,36,25,19,-4.6941934,-60.604836,34.0,86.0,25.61588478088379
122,2014,01,03,03,36,25,20,-2.5741217,-60.747334,152.0,78.0,30.150699615478516
121,2014,01,03,03,36,25,21,-2.6462257,-60.18984,148.0,109.0,39.94207000732422
120,2014,01,03,03,36,25,22,-2.6989472,-61.61075,145.0,30.0,23.695552825927734
117,2014,01,03,03,36,25,23,-2.9873347,-59.23639,129.0,162.0,23.231521606445312
112,2014,01,03,03,36,25,24,-3.2749321,-60.513874,113.0,91.0,28.81206703186035
