DATETIME,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2014-01-04 15:48:08,15,11,-2.736063,-60.15388,143,111,NW,23.079710006713867,44.821985519349326
2014-01-04 15:48:08,15,12,-3.0953333,-59.61416,123,141,NE,23.499588012695312,44.94726393145129
2014-01-04 15:48:08,15,13,-3.4906497,-59.848003,101,128,SE,21.88523292541504,44.452718727637965
2014-01-04 15:48:08,15,14,-3.6164215,-60.064007,94,116,SW,34.7288818359375,47.661352765892
2014-01-04 16:00:07,13,0,-3.4542944,-60.927944,103,68,SW,37.80347442626953,48.25080742273964
2014-01-04 16:00:07,13,1,-3.562502,-60.20801,97,108,SW,50.991981506347656,50.33033017457231
2014-01-04 16:00:07,13,2,-3.6523564,-59.974,92,121,SE,78.69673919677734,53.34560776014142
2014-01-04 16:00:07,13,3,-3.31052,-60.981796,111,65,SW,63.062591552734375,51.80664898191332
2014-01-04 16:00:07,13,4,-4.011658,-59.775883,72,132,SE,41.25196838378906,48.85741477627326
2014-01-04 16:00:07,13,5,-3.5445588,-60.010002,98,119,SW,41.64028549194336,48.92251913161221
2014-01-04 16:00:07,13,6,-4.1374454,-59.937965,65,123,SE,30.625429153442383,46.78761488742268
2014-01-04 16:00:07,13,7,-3.1131673,-59.344257,122,156,NE,60.49759292602539,51.51810948172628
2014-01-04 16:00:07,13,8,-3.5444942,-59.63199,98,140,SE,31.74468994140625,47.03703738967344
2014-01-04 16:00:07,13,9,-4.226944,-60.784626,60,76,SW,23.99435806274414,45.0920461238473
2014-01-04 16:00:07,13,10,-3.0953395,-59.63215,123,140,NE,32.85357666015625,47.27562246339943
2014-01-04 16:00:07,13,11,-3.1491697,-59.47019,120,149,SE,28.2357234954834,46.223082681767515
2014-01-04 16:00:07,13,12,-3.6702363,-60.40607,91,97,SW,28.231477737426758,46.22203773715757
2014-01-04 16:12:07,18,0,-3.796081,-59.88397,84,126,SE,51.00642395019531,50.3322979774789
2014-01-04 16:12:07,18,1,-3.7955487,-61.01831,84,63,SW,33.74847412109375,47.46236622442906
2014-01-04 16:12:07,18,2,-3.0953395,-59.63215,123,140,NE,65.62152099609375,52.08304063471552
2014-01-04 16:12:07,18,3,-3.58042,-60.370026,96,99,SW,73.97127532958984,52.91530965878046
2014-01-04 16:12:07,18,4,-3.3463013,-61.12581,109,57,SW,28.875812530517578,46.37884737415594
2014-01-04 16:12:07,18,5,-3.706153,-60.442093,89,95,SW,67.3650894165039,52.265258205856284
2014-01-04 16:12:07,18,6,-4.0835466,-59.937965,68,123,SE,52.99068069458008,50.597491929484676
2014-01-04 16:12:07,18,7,-3.508157,-60.963997,100,66,SW,51.807315826416016,50.44055742490365
2014-01-04 16:12:07,18,8,-4.2452445,-60.010014,59,119,SW,30.04781150817871,46.65530549644493
2014-01-04 16:12:07,18,9,-3.1131673,-59.344257,122,156,NE,35.366024017333984,47.78767975703819
2014-01-04 16:12:07,18,10,-3.1671531,-59.50617,119,147,SE,24.52418327331543,45.24381280499956
2014-01-04 16:12:07,18,11,-3.5265822,-60.136,99,112,SW,29.23597526550293,46.46498132921828
2014-01-04 16:12:07,18,12,-3.5624933,-60.244015,97,106,SW,23.687881469726562,45.002719496613054
2014-01-04 16:12:07,18,13,-3.6703215,-59.937992,91,123,SE,23.87233543395996,45.056618487453974
2014-01-04 16:12:07,18,14,-3.6882787,-60.13603,90,112,SW,33.16255569458008,47.34066783445223
2014-01-04 16:12:07,18,15,-3.7953653,-61.18036,84,54,SW,26.556142807006836,45.79693988338859
2014-01-04 16:12:07,18,16,-3.9577024,-60.38819,75,98,SW,27.963687896728516,46.15581109767584
2014-01-04 16:12:07,18,17,-4.0116625,-59.79389,72,131,SE,45.2427864074707,49.49908946632269
2014-01-04 16:24:07,11,0,-3.400156,-61.161865,106,55,SW,52.751068115234375,50.56600008062365
2014-01-04 16:24:07,11,1,-3.7062497,-60.10002,89,114,SW,40.81066131591797,48.782678074247904
2014-01-04 16:24:07,11,2,-3.5260122,-61.072018,99,60,SW,78.75959777832031,53.351155789433406
2014-01-04 16:24:07,11,3,-3.796083,-59.901974,84,125,SE,35.85594177246094,47.883278099483434
2014-01-04 16:24:07,11,4,-3.6882572,-59.739952,90,134,SE,41.44432067871094,48.88974036354916
2014-01-04 16:24:07,11,5,-3.9398148,-59.919968,76,124,SE,43.07322311401367,49.157617887477116
2014-01-04 16:24:07,11,6,-2.9151192,-58.84067,133,184,NE,25.73872947692871,45.57969364175709
2014-01-04 16:24:07,11,7,-3.0055397,-59.740128,128,134,NE,22.45859146118164,44.63242019772741
2014-01-04 16:24:07,11,8,-3.777545,-61.0543,85,61,SW,28.45720863342285,46.27737672315571
2014-01-04 16:24:07,11,9,-3.8134358,-58.89365,83,181,SE,26.062419891357422,45.666535755347454
2014-01-04 16:24:07,11,10,-4.137331,-60.460323,65,94,SW,31.168733596801758,46.90980646873485
2014-01-04 16:36:06,14,0,-3.4181,-61.179886,105,54,SW,52.77881622314453,50.5696542797736
2014-01-04 16:36:06,14,1,-3.705845,-60.892185,89,70,SW,73.94775390625,52.91309975256312
2014-01-04 16:36:06,14,2,-3.7421155,-60.370094,87,99,SW,70.71500396728516,52.60248507784127
2014-01-04 16:36:06,14,3,-4.155306,-60.442318,64,95,SW,32.329322814941406,47.16384568099605
2014-01-04 16:36:06,14,4,-3.7421777,-60.136036,87,112,SW,37.90620803833008,48.269665425258964
2014-01-04 16:36:06,14,5,-3.939817,-59.955982,76,122,SE,29.011566162109375,46.411438747273394
2014-01-04 16:36:06,14,6,-3.4906237,-60.261993,101,105,SW,37.4103889465332,48.17817553221849
2014-01-04 16:36:06,14,7,-3.6342885,-60.44206,93,95,SW,66.54730987548828,52.18038802288943
2014-01-04 16:36:06,14,8,-3.6702812,-59.703953,91,136,SE,47.859893798828125,49.88984764589453
2014-01-04 16:36:06,14,9,-3.7586958,-58.299557,86,214,SE,32.44015121459961,47.18762587565443
2014-01-04 16:36:06,14,10,-3.8313806,-61.10838,82,58,SW,38.859649658203125,48.44228205056254
2014-01-04 16:36:06,14,11,-4.0835395,-59.86592,68,127,SE,28.59920310974121,46.31196286999754
2014-01-04 16:36:06,14,12,-3.328167,-61.26976,110,49,SW,22.86473846435547,44.75695976653302
2014-01-04 16:36:06,14,13,-3.8140519,-59.937984,83,123,SE,32.285282135009766,47.154373332259894
2014-01-04 16:48:06,17,0,-3.4539654,-61.233925,103,51,SW,46.61631393432617,49.70690683372694
2014-01-04 16:48:06,17,1,-3.723777,-60.92821,88,68,SW,69.1412353515625,52.446094114196896
2014-01-04 16:48:06,17,2,-3.7780406,-60.38811,85,98,SW,46.443241119384766,49.68106027811334
2014-01-04 16:48:06,17,3,-3.7780883,-60.244072,85,106,SW,48.633338928222656,50.001245350816
2014-01-04 16:48:06,17,4,-4.1552787,-60.496357,64,92,SW,43.65325927734375,49.250566755388874
2014-01-04 16:48:06,17,5,-4.1913285,-60.172134,62,110,SW,63.080421447753906,51.80861333646925
2014-01-04 16:48:06,17,6,-3.8138938,-60.55018,83,89,SW,35.454429626464844,47.805028005430145
2014-01-04 16:48:06,17,7,-3.3640509,-61.3058,108,47,SW,23.69175148010254,45.003854650467346
2014-01-04 16:48:06,17,8,-3.5084813,-60.531998,100,90,SW,39.84507369995117,48.61629410800569
2014-01-04 16:48:06,17,9,-3.6149864,-58.29982,94,214,SE,27.150802612304688,45.95082271524195
2014-01-04 16:48:06,17,10,-2.8437552,-60.495674,137,92,NW,35.294925689697266,47.77369630647272
2014-01-04 16:48:06,17,11,-2.9692101,-59.03851,130,173,NE,32.387569427490234,47.17635366813735
2014-01-04 16:48:06,17,12,-3.005562,-59.866062,128,127,NE,22.40978240966797,44.61730219222139
2014-01-04 16:48:06,17,13,-3.041468,-59.722126,126,135,NE,23.28980255126953,44.88495286292757
2014-01-04 16:48:06,17,14,-3.6157575,-61.144127,94,56,SW,31.27353858947754,46.9331323452057
2014-01-04 16:48:06,17,15,-3.7956216,-59.037712,84,173,SE,23.075992584228516,44.82086620815862
2014-01-04 16:48:06,17,16,-3.8859184,-60.010006,79,119,SW,26.6265869140625,45.81534796738381
2014-01-04 17:00:06,21,0,-3.8140109,-60.280094,83,104,SW,83.41657257080078,53.75033742124025
2014-01-04 17:00:06,21,1,-4.227249,-60.226185,60,107,SW,58.629005432128906,51.30010038837859
2014-01-04 17:00:06,21,2,-3.7237244,-60.98222,88,65,SW,45.31585693359375,49.51030310893081
2014-01-04 17:00:06,21,3,-3.9038823,-60.06403,78,116,SW,62.87620544433594,51.78608114562187
2014-01-04 17:00:06,21,4,-3.4898503,-61.26997,101,49,SW,46.149749755859375,49.63700956357687
2014-01-04 17:00:06,21,5,-3.3819447,-61.359818,107,44,SW,52.59983444213867,50.546049992079475
2014-01-04 17:00:06,21,6,-3.0951786,-59.308285,123,158,NE,46.854248046875,49.7422835146897
2014-01-04 17:00:06,21,7,-3.831816,-60.622215,82,85,SW,51.812503814697266,50.44125323454853
2014-01-04 17:00:06,21,8,-3.9032202,-61.126476,78,57,SW,31.94263458251953,47.08023168885492
2014-01-04 17:00:06,21,9,-4.0655646,-60.172108,69,110,SW,76.52020263671875,53.150717739555986
2014-01-04 17:00:06,21,10,-3.4726877,-59.884007,102,126,SE,107.015380859375,55.481439179760095
2014-01-04 17:00:06,21,11,-3.5982232,-60.676064,95,82,SW,46.96611022949219,49.75885344558574
2014-01-04 17:00:06,21,12,-3.6695886,-61.1982,91,53,SW,26.36276626586914,45.74615562345187
2014-01-04 17:00:06,21,13,-3.0235322,-59.902042,127,125,NE,129.910400390625,56.82860269731232
2014-01-04 17:00:06,21,14,-3.6702287,-60.424072,91,96,SW,37.92961120605469,48.27395421312762
2014-01-04 17:00:06,21,15,-4.3170333,-60.37034,55,99,SW,29.607097625732422,46.55263332827797
2014-01-04 17:00:06,21,16,-2.5374951,-61.448673,154,39,NW,27.75773048400879,46.10444323071869
2014-01-04 17:00:06,21,17,-3.6510043,-58.353764,92,211,SE,24.593448638916016,45.263410874262604
2014-01-04 17:00:06,21,18,-3.8136218,-59.073708,83,171,SE,26.406517028808594,45.757677914051875
2014-01-04 17:00:06,21,19,-4.0833735,-60.56836,68,88,SW,22.080774307250977,44.5145287365328
2014-01-04 17:00:06,21,20,-4.2091465,-60.55043,61,89,SW,23.942346572875977,45.07696736558494
2014-01-04 17:12:06,18,0,-4.263172,-60.262226,58,105,SW,74.3804931640625,52.953644813116995
2014-01-04 17:12:06,18,1,-3.849926,-60.334126,81,101,SW,81.95146179199219,53.627207230435644
2014-01-04 17:12:06,18,2,-4.101317,-60.604397,67,86,SW,63.178741455078125,51.819435482104545
2014-01-04 17:12:06,18,3,-3.8859105,-60.11805,79,113,SW,65.17853546142578,52.035973521372384
2014-01-04 17:12:06,18,4,-3.7054963,-61.21625,89,52,SW,50.86913299560547,50.31356932715254
2014-01-04 17:12:06,18,5,-4.065557,-60.20813,69,108,SW,69.80104064941406,52.51209031630188
2014-01-04 17:12:06,18,6,-3.561639,-61.32407,97,46,SW,55.39668273925781,50.906040102426246
2014-01-04 17:12:06,18,7,-3.741634,-61.036255,87,62,SW,36.155147552490234,47.9410221689491
2014-01-04 17:12:06,18,8,-2.861401,-59.020615,136,174,NE,48.87892532348633,50.03624633621812
2014-01-04 17:12:06,18,9,-3.4906542,-59.884003,101,126,SE,62.4659538269043,51.74059397012198
2014-01-04 17:12:06,18,10,-3.3818707,-61.41381,107,41,SW,48.63829040527344,50.001952779833736
2014-01-04 17:12:06,18,11,-3.68702,-58.407707,90,208,SE,24.248332977294922,45.1652101505241
