,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,RAIN_FALL
37,2014,01,03,03,12,16,0,-4.4427257,-60.51455,48.0,91.0,56.237815856933594
51,2014,01,03,03,12,16,1,-4.2810774,-60.42437,57.0,96.0,83.0477523803711
17,2014,01,03,03,12,16,2,-4.6223645,-60.550713,38.0,89.0,55.71148681640625
7,2014,01,03,03,12,16,3,-4.676215,-60.62285,35.0,85.0,61.82217025756836
13,2014,01,03,03,12,16,4,-4.6402955,-60.604794,37.0,86.0,49.00736999511719
69,2014,01,03,03,12,16,5,-4.19129,-60.316242,62.0,102.0,33.39875793457031
47,2014,01,03,03,12,16,6,-4.317001,-60.442406,55.0,95.0,59.69649124145508
83,2014,01,03,03,12,16,7,-2.9153752,-59.11051,133.0,169.0,27.546173095703125
71,2014,01,03,03,12,16,8,-4.17333,-59.68578,63.0,137.0,25.72093963623047
25,2014,01,03,03,12,16,9,-4.58636,-60.65882,40.0,83.0,42.63069534301758
84,2014,01,03,03,12,16,10,-2.3767455,-59.902096,163.0,125.0,31.086217880249023
78,2014,01,03,03,12,16,11,-3.0053608,-59.326332,128.0,157.0,54.95936965942383
76,2014,01,03,03,12,16,12,-3.0413907,-59.506226,126.0,147.0,40.54840087890625
73,2014,01,03,03,12,16,13,-3.3288014,-60.567894,110.0,88.0,28.15406036376953
81,2014,01,03,03,12,16,14,-2.9157379,-60.00999,133.0,119.0,95.3639907836914
77,2014,01,03,03,12,16,15,-3.0234685,-59.61418,127.0,141.0,34.842071533203125
