,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,RAIN_FALL
15,2014,01,03,03,48,6,0,-4.209076,-59.32549,61.0,157.0,68.30970001220703
8,2014,01,03,03,48,6,1,-4.3168964,-59.361435,55.0,155.0,33.75786209106445
13,2014,01,03,03,48,6,2,-4.2270546,-59.343487,60.0,156.0,71.45742797851562
6,2014,01,03,03,48,6,3,-4.550327,-60.78494,42.0,76.0,30.183650970458984
3,2014,01,03,03,48,6,4,-4.8201404,-59.77567,27.0,132.0,28.482582092285156
22,2014,01,03,03,48,6,5,-3.8677814,-59.415783,80.0,152.0,26.832502365112305
