,YEAR,MONTH,DAY,HOUR,MINUTE,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,RAIN_FALL
67,2014,01,03,03,00,18,0,-4.4965034,-60.694786,45.0,81.0,64.7665023803711
58,2014,01,03,03,00,18,1,-4.514469,-60.6948,44.0,81.0,90.26707458496094
59,2014,01,03,03,00,18,2,-4.514483,-60.67678,44.0,82.0,67.67813110351562
48,2014,01,03,03,00,18,3,-4.5324063,-60.730858,43.0,79.0,71.7435073852539
36,2014,01,03,03,00,18,4,-4.568338,-60.730892,41.0,79.0,67.92753601074219
54,2014,01,03,03,00,18,5,-4.514411,-60.766884,44.0,77.0,67.77063751220703
84,2014,01,03,03,00,18,6,-4.442606,-60.69474,48.0,81.0,70.13310241699219
29,2014,01,03,03,00,18,7,-4.5862737,-60.766953,40.0,77.0,48.13075637817383
12,2014,01,03,03,00,18,8,-4.6221576,-60.821056,38.0,74.0,47.2507438659668
8,2014,01,03,03,00,18,9,-4.6401553,-60.785027,37.0,76.0,49.58377456665039
104,2014,01,03,03,00,18,10,-2.6279938,-60.78334,149.0,76.0,48.61247634887695
100,2014,01,03,03,00,18,11,-2.9516318,-60.279842,131.0,104.0,65.32122802734375
2,2014,01,03,03,00,18,12,-4.676071,-60.80309,35.0,75.0,26.676273345947266
94,2014,01,03,03,00,18,13,-3.0773227,-59.50621,124.0,147.0,41.14625549316406
91,2014,01,03,03,00,18,14,-3.9937057,-60.136074,73.0,112.0,23.052967071533203
101,2014,01,03,03,00,18,15,-2.771693,-60.819412,141.0,74.0,23.645132064819336
93,2014,01,03,03,00,18,16,-3.1851976,-59.722088,118.0,135.0,54.951759338378906
0,2014,01,03,03,00,18,17,-4.7299347,-60.839195,32.0,73.0,22.143348693847656
