DATETIME,N_Cluster,ID_CLUS,LAT,LON,DIST,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2015-09-20 19:12:14,5,0,-1.9274533,-59.416798,149.41108689045694,188,152,NE,50.09712600708008,50.20730494534435
2015-09-20 19:12:14,5,0,-1.8915458,-59.470734,150.59999038380363,190,149,NE,28.33121109008789,46.24654219577239
2015-09-20 19:12:14,5,0,-1.8915534,-59.48871,149.84105479022534,190,148,NE,23.05061912536621,44.81322147285377
2015-09-20 19:12:14,5,0,-1.9094872,-59.416805,151.20865387974195,189,152,NE,25.044811248779297,45.38978416400223
2015-09-20 19:12:14,5,0,-1.9094957,-59.43478,150.3730539787778,189,151,NE,27.25834846496582,45.97829258324185
2015-09-20 19:12:14,5,0,-1.9095039,-59.452755,149.55953583251284,189,150,NE,26.446914672851562,45.76830018124865
2015-09-20 19:12:14,5,0,-1.9454105,-59.398815,148.49644382363283,187,153,NE,22.34278106689453,44.59649563604523
2015-09-20 19:12:14,5,0,-1.9274617,-59.434772,148.56544625003679,188,151,NE,25.59268569946289,45.54015376772693
2015-09-20 19:12:14,5,0,-1.9274445,-59.398823,150.27864628616052,188,153,NE,27.457088470458984,46.02877168581783
2015-09-20 19:12:14,5,1,-1.7298272,-59.416874,169.4166006059878,199,152,NE,22.497331619262695,44.6443961171752
2015-09-20 19:12:14,5,1,-1.7298355,-59.43485,168.67109543911806,199,151,NE,44.70896911621094,49.416614455408634
2015-09-20 19:12:14,5,1,-1.7298435,-59.45282,167.94635028235996,199,150,NE,25.624696731567383,45.54883970410452
2015-09-20 19:12:14,5,1,-1.7118775,-59.452827,169.8033308555394,200,150,NE,23.981231689453125,45.088243715724744
2015-09-20 19:12:14,5,1,-1.7118927,-59.488773,168.43146966800933,200,148,NE,23.479801177978516,44.94141059786785
2015-09-20 19:12:14,5,2,-2.1609635,-60.657192,131.89798023716827,175,83,NW,25.973846435546875,45.64288025323421
2015-09-20 19:12:14,5,2,-2.1789188,-60.675182,131.40492482246202,174,82,NW,52.479347229003906,50.530114746629806
2015-09-20 19:12:14,5,2,-2.1968741,-60.69317,130.97051364400215,173,81,NW,49.29807662963867,50.09557956554471
2015-09-20 19:12:14,5,2,-2.1968632,-60.711147,132.17127012055806,173,80,NW,36.18213653564453,47.94620728681365
2015-09-20 19:12:14,5,3,-2.1969767,-60.495403,119.1857505033521,173,92,NW,31.396020889282227,46.96029370653356
2015-09-20 19:12:14,5,3,-2.1969688,-60.513382,120.13844874558644,173,91,NW,92.73514556884766,54.48620968506985
2015-09-20 19:12:14,5,3,-2.2149265,-60.53137,119.3951105122189,172,90,NW,67.8422622680664,52.3143051002213
2015-09-20 19:12:14,5,3,-2.2149181,-60.549347,120.412477958063,172,89,NW,33.584407806396484,47.42850307329551
2015-09-20 19:12:14,5,4,-3.0055397,-59.740128,32.15568912674639,128,134,NE,28.90569496154785,46.38603460155659
2015-09-20 19:36:10,7,0,-1.8735948,-59.50669,150.95864159070408,191,147,NE,30.60382843017578,46.782712093860674
2015-09-20 19:36:10,7,0,-1.8736087,-59.54264,149.57439551808739,191,145,NE,36.202693939208984,47.95015417661883
2015-09-20 19:36:10,7,0,-1.8915534,-59.48871,149.84105479022534,190,148,NE,35.56193161010742,47.826065435402796
2015-09-20 19:36:10,7,0,-1.8915608,-59.506683,149.10520245246894,190,147,NE,45.73720169067383,49.57461339548818
2015-09-20 19:36:10,7,0,-1.9634252,-59.50666,141.72726627239064,186,147,NE,68.7225341796875,52.40388661194395
2015-09-20 19:36:10,7,0,-1.9634393,-59.54261,140.25202565286935,186,145,NE,56.821720123291016,51.08252998339397
2015-09-20 19:36:10,7,0,-1.9813838,-59.488678,140.6766529379558,185,148,NE,50.52421951293945,50.266293770292066
2015-09-20 19:36:10,7,0,-1.9813913,-59.506653,139.89256424098033,185,147,NE,88.0994873046875,54.12987405329514
2015-09-20 19:36:10,7,0,-1.9813985,-59.524628,139.13280879150628,185,146,NE,87.8142318725586,54.10733846586831
2015-09-20 19:36:10,7,0,-1.9814054,-59.542606,138.39766686051271,185,145,NE,60.83524703979492,51.55678437224908
2015-09-20 19:36:10,7,0,-1.99935,-59.48867,138.8565150700517,184,148,NE,22.1827449798584,44.54654453969371
2015-09-20 19:36:10,7,0,-1.9993646,-59.524624,137.29206484889858,184,146,NE,37.781280517578125,48.246726730071614
2015-09-20 19:36:10,7,0,-1.9993715,-59.5426,136.54710871348348,184,145,NE,25.28815269470215,45.45697363972106
2015-09-20 19:36:10,7,0,-1.8736018,-59.524666,150.25477176855807,191,146,NE,46.8151969909668,49.73648963932071
2015-09-20 19:36:10,7,1,-2.25089,-60.459465,112.04763705193639,170,94,NW,23.899030685424805,45.06438454653264
2015-09-20 19:36:10,7,1,-2.2508826,-60.477444,112.98968012843508,170,93,NW,25.73041343688965,45.577448188965946
2015-09-20 19:36:10,7,1,-2.2688487,-60.47745,111.24861825671974,169,93,NW,36.67177200317383,48.03961029025846
2015-09-20 19:36:10,7,1,-2.268841,-60.495434,112.23327699621346,169,92,NW,22.144670486450195,44.534607514243625
2015-09-20 19:36:10,7,1,-2.2508414,-60.56734,118.09593939063906,170,88,NW,25.772140502929688,45.58870780208014
2015-09-20 19:36:10,7,2,-2.987569,-60.26186,34.88220752743947,129,105,NW,27.815887451171875,46.11898668357655
2015-09-20 19:36:10,7,2,-2.9696028,-60.261856,35.936531992953974,130,105,NW,116.86807250976562,56.09343405800875
